dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,256,38.456,0.0
bf16,bf16,1,512,22.994,0.0
bf16,bf16,1,1024,23.483,0.001
bf16,bf16,1,4096,23.662,0.003
bf16,bf16,1,8192,22.965,0.005
bf16,bf16,1,16384,23.936,0.01
bf16,bf16,1,32768,37.312,0.013
bf16,bf16,1,65536,59.174,0.016
bf16,bf16,1,131072,101.675,0.019
bf16,bf16,16,256,22.912,0.003
bf16,bf16,16,512,23.756,0.005
bf16,bf16,16,1024,24.15,0.01
bf16,bf16,16,4096,58.338,0.016
bf16,bf16,16,8192,100.3,0.019
bf16,bf16,16,16384,182.92,0.021
bf16,bf16,16,32768,350.137,0.022
bf16,bf16,16,65536,681.229,0.022
bf16,bf16,16,131072,1346.008,0.023
bf16,bf16,32,256,22.908,0.005
bf16,bf16,32,512,24.065,0.01
bf16,bf16,32,1024,37.05,0.013
bf16,bf16,32,4096,100.626,0.019
bf16,bf16,32,8192,186.698,0.02
bf16,bf16,32,16384,349.474,0.022
bf16,bf16,32,32768,681.737,0.022
bf16,bf16,32,65536,1356.978,0.022
bf16,bf16,32,131072,2683.472,0.023
bf16,bf16,64,256,21.175,0.011
bf16,bf16,64,512,34.049,0.014
bf16,bf16,64,1024,54.505,0.017
bf16,bf16,64,4096,179.312,0.021
bf16,bf16,64,8192,345.786,0.022
bf16,bf16,64,16384,679.79,0.022
bf16,bf16,64,32768,1342.474,0.023
bf16,bf16,64,65536,2672.219,0.023
bf16,bf16,64,131072,5346.719,0.023
bf16,bf16,128,256,36.751,0.013
bf16,bf16,128,512,61.165,0.016
bf16,bf16,128,1024,106.176,0.018
bf16,bf16,128,4096,377.884,0.02
bf16,bf16,128,8192,686.773,0.022
bf16,bf16,128,16384,1361.634,0.022
bf16,bf16,128,32768,2725.964,0.022
bf16,bf16,128,65536,5392.918,0.023
bf16,bf16,256,256,62.198,0.015
bf16,bf16,256,512,109.995,0.017
bf16,bf16,256,1024,201.692,0.019
bf16,bf16,256,4096,748.674,0.02
bf16,bf16,256,8192,1367.529,0.022
bf16,bf16,256,16384,2726.836,0.022
bf16,bf16,512,256,114.402,0.017
bf16,bf16,512,512,206.809,0.018
bf16,bf16,512,1024,364.646,0.021
bf16,bf16,512,4096,1378.7,0.022
bf16,bf16,512,8192,2730.931,0.022
