case_name,tp,num_prefill_requests,total_prefill_tokens,num_decode_requests,prefill_only_us,decode_only_us,max_combination_us,weighted_avg_us,ratio_wa_to_max,delta_us,regime
8decode_1prefill_16tok,1,1,16,8,10092,13709,13709,11298,0.8241,-2411,balanced
8decode_1prefill_64tok,1,1,64,8,10138,13709,13709,10534,0.7684,-3175,balanced
8decode_1prefill_128tok,1,1,128,8,10765,13709,13709,11501,0.8389,-2208,prefill-dominated
8decode_1prefill_256tok,1,1,256,8,11550,13709,13709,12090,0.8819,-1619,prefill-dominated
8decode_1prefill_512tok,1,1,512,8,16901,13709,16901,16103,0.9528,-798,prefill-dominated
8decode_1prefill_1024tok,1,1,1024,8,29508,13709,29508,25558,0.8661,-3950,prefill-dominated
8decode_1prefill_2048tok,1,1,2048,8,55037,13709,55037,44705,0.8123,-10332,prefill-dominated
8decode_1prefill_4096tok,1,1,4096,8,102524,13709,102524,80321,0.7834,-22203,prefill-dominated
1prefill512_1decode,1,1,512,1,16901,8291,16901,14748,0.8726,-2153,prefill-dominated
1prefill512_2decode,1,1,512,2,16901,8448,16901,14787,0.8749,-2114,prefill-dominated
1prefill512_4decode,1,1,512,4,16901,8614,16901,14829,0.8774,-2072,prefill-dominated
1prefill512_8decode,1,1,512,8,16901,12815,16901,15879,0.9395,-1022,prefill-dominated
1prefill512_16decode,1,1,512,16,16901,13240,16901,15985,0.9458,-916,prefill-dominated
1prefill512_32decode,1,1,512,32,16901,16412,16901,16778,0.9927,-123,prefill-dominated
1prefill512_64decode,1,1,512,64,16901,21676,21676,18094,0.8347,-3582,prefill-dominated
1prefill256_4decode,1,1,256,4,11550,8419,11550,10767,0.9322,-783,prefill-dominated
1prefill256_8decode,1,1,256,8,11550,12196,12196,11711,0.9602,-485,prefill-dominated
1prefill256_16decode,1,1,256,16,11550,13418,13418,12017,0.8956,-1401,prefill-dominated
2prefill256_4decode,1,2,512,4,16901,8419,16901,14780,0.8745,-2121,prefill-dominated
2prefill256_8decode,1,2,512,8,16901,12196,16901,15724,0.9304,-1177,prefill-dominated
2prefill256_16decode,1,2,512,16,16901,13418,16901,16030,0.9485,-871,prefill-dominated
4prefill256_4decode,1,4,1024,4,28830,8419,28830,23727,0.8230,-5103,prefill-dominated
4prefill256_8decode,1,4,1024,8,28830,12196,28830,24672,0.8558,-4158,prefill-dominated
4prefill256_16decode,1,4,1024,16,28830,13418,28830,24977,0.8664,-3853,prefill-dominated
tp2_1prefill512_8decode,2,1,512,8,8450,7390,8450,8185,0.9686,-265,prefill-dominated
tp2_1prefill2048_8decode,2,1,2048,8,27519,7390,27519,22486,0.8171,-5033,prefill-dominated
tp4_1prefill512_8decode,4,1,512,8,4225,4085,4225,4190,0.9917,-35,prefill-dominated
tp4_1prefill2048_8decode,4,1,2048,8,13759,4085,13759,11341,0.8243,-2418,prefill-dominated
extreme_prefill_dominated_4096tok_2decode,1,1,4096,2,102524,8399,102524,78993,0.7705,-23531,prefill-dominated
extreme_decode_dominated_32tok_32decode,1,1,32,32,10116,16573,16573,13344,0.8052,-3229,balanced
