batch_size,roofline_attn_flops,ideal_attn_flops,overestimation_factor
2,4294967296,2181038080,1.9692
3,6442450944,2214592512,2.9091
4,8589934592,2248146944,3.8209
5,10737418240,2281701376,4.7059
6,12884901888,2315255808,5.5652
7,15032385536,2348810240,6.4000
8,17179869184,2382364672,7.2113
9,19327352832,2415919104,8.0000
10,21474836480,2449473536,8.7671
11,23622320128,2483027968,9.5135
12,25769803776,2516582400,10.2400
13,27917287424,2550136832,10.9474
14,30064771072,2583691264,11.6364
15,32212254720,2617245696,12.3077
16,34359738368,2650800128,12.9620
