experiment_id,model,workload,ridge_30f_per_exp_mape,ridge_30f_per_exp_r,ridge_30f_global_mape,blackbox_mape
20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen,73.84137845701618,0.4871446621128393,297.7040907157586,69.6996502665903
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,37.77891602334722,0.7984373304965728,201.40191607219924,40.26655479451453
20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning,9.33464395862,0.6227365142055702,40.944486020908386,123.52699859014025
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,57.447596423305626,0.29310428565467783,120.52278166739747,61.154177880328795
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,64.33451565826614,0.7052648150426479,217.03871981765352,90.75831902128996
20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general,283.3176439532993,0.6360633234300632,107.32464340445516,72.90086797881466
20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b-hf,reasoning,15.892109343153363,0.9465188638041617,29.47390917132276,14.152042966594347
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,181.01194331754922,0.42331955969899504,278.92788996962713,128.55334355597142
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,15.734933262047178,0.2631266942333451,578.737935434138,19.04882591278666
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,8.96869344336979,0.7874695729143004,1315.330563204337,9.158991332998534
20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning,484.8721829725534,0.8419008838769595,184.0441973153816,222.83510080871577
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,27.238764140625054,0.7112946332011051,429.00325454744916,33.603419996298754
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,143.66559472850662,0.41778219446850895,78.4555052865569,151.06270494181769
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,17.05483412223142,0.4309249153199669,291.298507983083,21.612096488707806
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,27.804787901251988,0.6909179429946694,645.1765165270733,30.7530150329809
20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning,25.44714927308013,0.9243095690892389,52.13848278041184,37.265411860213554
