cv_type,holdout,feature,importance
lomo,codellama-34b,f_prefill_tokens,0.0129982
lomo,codellama-34b,f_decode_tokens,0.19410358
lomo,codellama-34b,f_scheduled_tokens,0.0024163553
lomo,codellama-34b,f_num_prefill_reqs,0.00813286
lomo,codellama-34b,f_num_decode_reqs,0.17318012
lomo,codellama-34b,f_kv_gpu_usage,0.014547572
lomo,codellama-34b,f_kv_blocks_used,0.35110515
lomo,codellama-34b,f_kv_blocks_free,0.013402974
lomo,codellama-34b,f_running_depth,0.05675015
lomo,codellama-34b,f_kv_pressure,0.0042566047
lomo,codellama-34b,f_prefill_fraction,0.0042445767
lomo,codellama-34b,f_decode_fraction,0.0024166363
lomo,codellama-34b,f_is_mixed_batch,0.0
lomo,codellama-34b,f_is_pure_prefill,0.0
lomo,codellama-34b,f_total_flops_estimate,0.0027994432
lomo,codellama-34b,f_arithmetic_intensity,0.0017860662
lomo,codellama-34b,f_compute_bound_indicator,2.8174061e-05
lomo,codellama-34b,f_prefill_compute_intensity,0.019247588
lomo,codellama-34b,f_decode_memory_intensity,0.096969694
lomo,codellama-34b,f_attention_flops_ratio,0.0
lomo,codellama-34b,f_gemm_flops_ratio,0.0
lomo,codellama-34b,f_active_param_ratio,0.0
lomo,codellama-34b,f_model_id,0.0014201986
lomo,codellama-34b,f_tp_degree,0.00040451298
lomo,codellama-34b,f_is_moe,0.0
lomo,codellama-34b,f_prefill_x_decode,0.0070796567
lomo,codellama-34b,f_kv_pressure_x_decode_reqs,0.010626746
lomo,codellama-34b,f_intensity_x_moe,0.0
lomo,codellama-34b,f_prefill_x_kv_usage,0.007784217
lomo,codellama-34b,f_batch_size_x_kv_pressure,0.014299026
lomo,llama-2-70b,f_prefill_tokens,0.0015129093
lomo,llama-2-70b,f_decode_tokens,0.0028915408
lomo,llama-2-70b,f_scheduled_tokens,0.0010996168
lomo,llama-2-70b,f_num_prefill_reqs,0.0019153012
lomo,llama-2-70b,f_num_decode_reqs,0.01539559
lomo,llama-2-70b,f_kv_gpu_usage,0.03374767
lomo,llama-2-70b,f_kv_blocks_used,0.7676449
lomo,llama-2-70b,f_kv_blocks_free,0.005084294
lomo,llama-2-70b,f_running_depth,0.01366918
