experiment_id,model,workload,bb_mape,n_test,9param_global_mape,9param_global_mspe,9param_global_r,36param_per_model_mape,36param_per_model_mspe,36param_per_model_r
20260217-155451-llama-2-7b-tp1-codegen,llama-2-7b,codegen,69.6996502665903,3117,53.02527186758468,17.98326941069591,0.4199878426035563,58.60328419898886,29.903801547899846,0.42153487309933685
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,40.26655479451453,3043,54.686779428394416,43.976207717925234,0.5347280696978489,42.932633092197634,27.93358174466508,0.560300627405669
20260217-170634-llama-2-7b-tp1-reasoning,llama-2-7b,reasoning,123.52699859014025,993,83.89198442586216,-75.0315754291903,0.16285202264358858,83.45482652864402,-61.597014501403116,0.16296749224187634
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,61.154177880328795,1199,63.85241519943751,-38.35675873346056,0.30151673897521253,76.08907399164572,-70.34158667823141,0.2676653841612392
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,90.75831902128996,1336,82.66581866618102,24.08457035188017,0.6872210785786101,79.86746489350257,20.422197359294632,0.6871531695491386
20260217-231439-llama-2-7b-tp1-general,llama-2-7b,general,72.90086797881466,2253,85.84920294489213,-85.3332731656544,0.6643590027213726,78.89283089747408,-78.65455382332671,0.6694274962383752
20260218-065057-llama-2-70b-hf-tp4-reasoning,llama-2-70b-hf,reasoning,14.152042966594347,889,76.66511428122021,-72.58997798451294,0.9621698864983335,75.29920343697648,-72.78485548238247,0.9621322667139599
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,128.55334355597142,1348,181.23541481199942,170.45327329330254,0.582280062256785,41.86260704599392,14.63165125767194,0.5230519611562641
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,19.04882591278666,1309,55.36687215321994,-54.90366819942256,0.18408758867024377,84.38463184652146,83.59940874843802,0.1840520547642338
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,9.158991332998534,1174,64.47379767666095,-64.33873014186155,0.6570135399345742,99.74490879808998,99.69680601951791,0.6567243895318917
20260218-135247-mixtral-8x7b-v0-1-tp2-reasoning,mixtral-8x7b-v0-1,reasoning,222.83510080871577,735,95.60145390581633,-93.14188006393456,0.8525655033274012,92.38328676617718,-82.18877262338124,0.8523102653271691
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,33.603419996298754,1336,42.229834824255555,-38.82783009019265,0.34618886811236366,86.01694307250727,82.8131268643521,0.3461104861388627
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,151.06270494181769,1488,85.71795315575085,-3.6099617978417835,0.41688015222181907,74.66350301392318,-34.23083362612098,0.41958832068226953
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,21.612096488707806,1643,244.72581868550796,244.47207436523138,0.21495799448218722,123.39122769769182,122.9771182554234,0.22842832088630347
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,30.7530150329809,1688,177.1931531998113,176.92871900821189,0.4150189413126469,70.696521470686,66.90364515136423,0.438384576916824
20260218-160939-codellama-34b-tp2-reasoning,codellama-34b,reasoning,37.265411860213554,999,89.31257811883611,-84.96502251266989,0.9254973635283751,91.36604519316282,-90.46694720156336,0.9254805770609047
