feature,coefficient,abs_coefficient
f_prefill_compute_intensity,19845.70749383367,19845.70749383367
f_prefill_tokens,-13402.813014482274,13402.813014482274
f_kv_blocks_used,7568.710059541691,7568.710059541691
f_decode_tokens,6731.957876321287,6731.957876321287
f_arithmetic_intensity,-5327.475959655755,5327.475959655755
f_batch_size_x_kv_pressure,5145.20586683902,5145.20586683902
f_scheduled_tokens,-4651.145803812184,4651.145803812184
f_running_depth,-4205.340154774288,4205.340154774288
f_intensity_x_moe,3807.740433870373,3807.740433870373
f_kv_pressure,-2465.0410246180513,2465.0410246180513
f_kv_gpu_usage,-2465.041014355941,2465.041014355941
f_model_id,-1370.0841236502288,1370.0841236502288
f_kv_blocks_free,-992.7955694504687,992.7955694504687
f_num_decode_reqs,901.9915203744141,901.9915203744141
f_tp_degree,598.7532872624013,598.7532872624013
f_total_flops_estimate,277.28016283339105,277.28016283339105
f_prefill_fraction,271.2958760781486,271.2958760781486
f_is_moe,-215.54791546462255,215.54791546462255
f_active_param_ratio,215.54780476216453,215.54780476216453
f_decode_fraction,186.249470049593,186.249470049593
f_decode_memory_intensity,-137.97839660256975,137.97839660256975
f_compute_bound_indicator,-89.05752502669364,89.05752502669364
f_prefill_x_kv_usage,-49.575158047307006,49.575158047307006
f_is_mixed_batch,-43.281709104729636,43.281709104729636
f_num_prefill_reqs,41.25323569667605,41.25323569667605
f_kv_pressure_x_decode_reqs,27.334573920421057,27.334573920421057
f_prefill_x_decode,-9.642213841279315,9.642213841279315
f_is_pure_prefill,7.067017788264517,7.067017788264517
f_gemm_flops_ratio,0.0,0.0
f_attention_flops_ratio,0.0,0.0
