fold,held_out,regime,mape,mspe,pearson_r,p99_error,n_test,mean_predicted,mean_actual
1,34b,decode_only,50.02222913498671,35.3066973561727,0.6008044636221057,303.17267128568676,18623,416.7722620115627,601.4434301669978
1,34b,mixed_batch,67.1408753698961,-8.103933476226526,0.6982827341759233,355.86057897677694,5477,916.1996575496265,1740.069381048019
1,34b,ALL,53.91263682911943,,0.6704707366100013,,24100,,
2,70b,decode_only,128.8976707722337,105.47647518735697,0.8297835251571508,559.0553763586252,14248,983.5552301878648,1027.0079309376754
2,70b,mixed_batch,195.03287496191652,177.07696443010337,0.8253733090063202,1118.7042838169461,5164,3423.50934412224,2445.072230828815
2,70b,ALL,146.49102511158677,,0.8028479534888021,,19412,,
3,7b,decode_only,185.20931616213417,-185.2077994815093,0.45315280932269264,542.1746052728777,13846,-77.7066314292125,151.3705763397371
3,7b,mixed_batch,205.55633541057517,-205.39273442548645,0.4507299692397646,661.867649605736,1370,-175.3708266589313,276.0452554744526
3,7b,ALL,187.04129673326747,,0.3572001034994393,,15216,,
4,mixtral,decode_only,163.01464476133154,151.9567899288146,0.5984650596429307,400.8413056011308,13896,864.3797800772653,308.8079303396661
4,mixtral,mixed_batch,327.7152249242692,312.0246621735172,0.5613751222597365,773.5543299897173,5192,2524.5027338388168,538.6456086286595
4,mixtral,ALL,207.81375478888665,,0.6124729945632349,,19088,,
