family,held_out_workload,regime,mape,pearson_r,n_test
34b,codegen,decode_only,294.91940950261414,0.8035215893990626,6625
34b,codegen,mixed_batch,281.6855282225805,0.3541861305315428,1591
34b,codegen,ALL,292.35671413789487,,8216
34b,general,decode_only,36.42059752058336,0.7455401994788754,4911
34b,general,mixed_batch,56.99935350609534,0.666895164558587,2530
34b,general,ALL,43.417540491063846,,7441
34b,roleplay,decode_only,102.81128630971774,0.3339790732141995,7087
34b,roleplay,mixed_batch,130.32915313762493,0.267341289336837,1356
34b,roleplay,ALL,107.23083237375211,,8443
70b,codegen,decode_only,307.05459593606304,0.7962773570302621,5121
70b,codegen,mixed_batch,127.79395979526367,0.7485634617879562,1558
70b,codegen,ALL,265.23874459493925,,6679
70b,general,decode_only,172.27215540954955,0.8712892604620015,3648
70b,general,mixed_batch,104.90964832770607,0.7916413953758783,2344
70b,general,ALL,145.92073408113816,,5992
70b,roleplay,decode_only,491.0960243416783,0.5714376964300276,5479
70b,roleplay,mixed_batch,435.1947713268004,0.6457389363421212,1262
70b,roleplay,ALL,480.63060655429126,,6741
mixtral,codegen,decode_only,18.806010769875183,0.3102400754082453,5034
mixtral,codegen,mixed_batch,29.88739216842727,0.6084865089539142,1510
mixtral,codegen,ALL,21.362992113367486,,6544
mixtral,general,decode_only,14.81871450561226,0.9483767594663253,3481
mixtral,general,mixed_batch,17.25244088778435,0.880011207653828,2386
mixtral,general,ALL,15.808465851762357,,5867
mixtral,roleplay,decode_only,24.089632405881808,0.4597759180027399,5381
mixtral,roleplay,mixed_batch,37.068510232876946,0.05784025268203295,1296
mixtral,roleplay,ALL,26.608821512334664,,6677
