experiment,model,workload,model_key,gt_e2e_ms,blis_e2e_ms,e2e_error_pct,gt_ttft_ms,blis_ttft_ms,ttft_error_pct,gt_itl_ms,blis_itl_ms,itl_error_pct
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,llama-2-7b_tp1,2071.1203091347243,983.9494719444444,52.491921034006936,27.12883728152974,6.0534719444444445,77.68620939546915,4.059359060868952,3.896,4.024257485465784
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,llama-2-70b_tp4,5320.605252511034,15041.721600535715,182.70696446493272,103.02162049001622,13050.529600535716,12567.758028326138,10.494583793607287,8.029,23.49386923861795
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,llama-2-70b-hf_tp4,4605.497935959306,2038.821727888889,55.730699345884936,55.587112953642645,12.655650777777778,77.23276114675703,9.188126368948637,8.20310152676563,10.720627934677825
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,llama-2-70b_tp4,4561.57099792086,2027.8032234722223,55.5459462453509,54.75399409082153,12.524223472222221,77.12637465049937,8.955773409414409,8.029,10.348334722718358
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,mixtral-8x7b-v0-1_tp2,4675.230160187726,2267.814053,51.4929965948684,58.854975121278486,14.186053,75.89659502740804,9.322447453593773,9.124,2.1287055205365766
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,mixtral-8x7b-v0-1_tp2,5038.638279881672,32984.058164761904,554.6224660829693,68.93669608209858,30721.306164761903,44464.517754339526,9.99752643690138,9.124,8.737425626374424
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,mixtral-8x7b-v0-1_tp2,4684.723604656756,2304.2564491666667,50.813395973325584,60.509117330139915,14.132449166666667,76.64409961632803,9.189132032182938,9.124,0.7087941707097755
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,codellama-34b_tp2,4092.5312723108796,122822.59173005952,2901.139968338148,51.589844846305255,119188.91173291666,230931.73131844122,8.127407304822974,14.651935472350232,80.27810004865225
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,codellama-34b_tp2,3722.85792777915,17506.014016333334,370.2305152637519,45.58050997627692,13913.596815222223,30425.320630382965,7.424517183929284,14.544199194781825,95.89420880139421
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,codellama-34b_tp2,3669.7311178867753,3790.683559861111,3.295948343048808,45.68358012591489,175.12083333333334,283.3343027202736,7.19996093137098,14.404632376604692,100.06542415865351
