family,held_out_workload,regime,mape,pearson_r,n_test
34b,codegen,decode_only,37.47928378225805,0.8035215893990626,6625
34b,codegen,mixed_light,286.11283720020873,0.40586410908256243,1583
34b,codegen,ALL,85.43090598749879,,8208
34b,general,decode_only,36.411707833231475,0.7455401994788754,4911
34b,general,mixed_light,53.315491197689425,0.6421738223010675,2523
34b,general,ALL,42.14862543190343,,7434
34b,roleplay,decode_only,24.159477386742676,0.3339790732141995,7087
34b,roleplay,mixed_light,130.77286079279432,0.32287091815854946,1348
34b,roleplay,ALL,41.19739568328774,,8435
70b,codegen,decode_only,303.36911378501253,0.7964998958786248,5121
70b,codegen,mixed_light,138.41925343981174,0.7595262356199657,1549
70b,codegen,ALL,265.06216720709415,,6670
70b,general,decode_only,170.74480337720428,0.8730940115265352,3648
70b,general,mixed_light,105.70384474321482,0.7895301590465625,2334
70b,general,ALL,145.3677392762796,,5982
70b,roleplay,decode_only,484.5680761108652,0.5714376964300276,5479
70b,roleplay,mixed_light,137.04869571213723,0.15977086684628994,1250
70b,roleplay,ALL,420.01179352825125,,6729
mixtral,codegen,decode_only,18.80601073902468,0.31024007540824533,5034
mixtral,codegen,mixed_light,18.228133300335504,0.8044672929555716,1505
mixtral,codegen,ALL,18.67300790292937,,6539
mixtral,general,decode_only,14.83378449457678,0.9483767594663253,3481
mixtral,general,mixed_light,14.805665795389691,0.9070186489076424,2386
mixtral,general,ALL,14.82234914154109,,5867
mixtral,roleplay,decode_only,24.089632388321604,0.45977591800274,5381
mixtral,roleplay,mixed_light,22.916952055413077,0.23522590560690915,1291
mixtral,roleplay,ALL,23.8627243682699,,6672
