blis_completed,blis_e2e_ms,blis_itl_ms,blis_ttft_ms,e2e_error,experiment,gt_e2e_ms,gt_itl_ms,gt_ttft_ms,initial_e2e_error,itl_error,model,tp,ttft_error,workload
7200,1611.3447806944444,7.755690526372458,10.634886805555556,0.22199363620376336,20260217-162547-llama-2-7b-tp1-roleplay,2071.1203091347243,4.059359060868952,27.12883728152974,0.6088576199507313,0.9105702181250909,llama-2-7b,1,0.6079858972505188,roleplay
16800,4456.254190119048,18.05575619478477,18.061188154761904,0.16245352199057805,20260217-202857-llama-2-70b-tp4-general,5320.605252511034,10.494583793607287,103.02162049001622,0.6267294708550507,0.7204833035668672,llama-2-70b,4,0.8246854585585537,general
9000,4781.605772555556,19.446609759803756,18.02042488888889,0.038238609384930025,20260217-203421-llama-2-70b-hf-tp4-codegen,4605.497935959306,9.188126368948637,55.587112953642645,0.5609689893822399,1.1164935024755172,llama-2-70b-hf,4,0.675816498980309,codegen
7200,4874.136027361111,19.43109122655512,17.74768597222222,0.06852135581858021,20260218-084319-llama-2-70b-tp4-roleplay,4561.57099792086,8.955773409414409,54.75399409082153,0.5573586499516451,1.1696720470985724,llama-2-70b,4,0.6758649982175952,roleplay
9000,3228.2876941111113,13.187882721901921,19.798914777777775,0.3094911729476256,20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,4675.230160187726,9.322447453593773,58.854975121278486,0.5222044176277695,0.4146373886846674,mixtral-8x7b-v0-1,2,0.6635982814200586,codegen
16800,4399.0076777380955,17.807265514718583,29.435426785714284,0.12694513211982303,20260218-130541-mixtral-8x7b-v0-1-tp2-general,5038.638279881672,9.99752643690138,68.93669608209858,0.5528729408408918,0.7811671344014715,mixtral-8x7b-v0-1,2,0.5730078686878345,general
7200,3083.271902777778,12.361667290378277,18.586234027777778,0.341845504030822,20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,4684.723604656756,9.189132032182938,60.509117330139915,0.5141425526829535,0.3452486314359423,mixtral-8x7b-v0-1,2,0.6928358097446602,roleplay
16800,4142.817638809524,16.47800274096122,15.81553898809524,0.012287350579058678,20260218-150304-codellama-34b-tp2-general,4092.5312723108796,8.127407304822974,51.589844846305255,0.5891110751621151,1.0274611721726838,codellama-34b,2,0.6934369732025292,general
9000,3535.859333222222,14.12190961856604,14.170463666666667,0.05022984980479253,20260218-150956-codellama-34b-tp2-codegen,3722.85792777915,7.424517183929284,45.58050997627692,0.5502409624141864,0.902064372500016,codellama-34b,2,0.6891113400433233,codegen
7200,4311.4633465277775,16.94735373021804,15.431573472222222,0.17487172984230664,20260218-155500-codellama-34b-tp2-roleplay,3669.7311178867753,7.19996093137098,45.68358012591489,0.5362437450618638,1.3538119014474999,codellama-34b,2,0.6622074401855303,roleplay
