experiment,model,workload,tp,status,gt_e2e_ms,gt_ttft_ms,gt_itl_ms,blis_e2e_ms,blis_ttft_ms,blis_itl_ms,e2e_error,ttft_error,itl_error,completed
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,1,ok,2071.1203091347243,27.12883728152974,4.059359060868952,983.9903818055556,5.8433818055555555,3.897,0.5248994578124492,0.7846062569908245,0.03999623054635567,7200
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,4,ok,5320.605252511034,103.02162049001622,10.494583793607287,94527.97621339286,91335.97465005952,12.870974045698924,16.766395311657604,885.5709373976587,0.22643968534885595,16800
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,4,ok,4605.497935959306,55.587112953642645,9.188126368948637,6933.202393888889,3680.330685111111,13.169521088169141,0.5054186301453051,65.20834379688607,0.4333195430001557,9000
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,4,ok,4561.57099792086,54.75399409082153,8.955773409414409,3279.427971111111,144.6609113888889,12.489111791722001,0.28107488130605496,1.6420156883703683,0.3945319092813701,7200
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,2,ok,4675.230160187726,58.854975121278486,9.322447453593773,2267.775257777778,13.900257777777776,9.125,0.5149382639834101,0.7638218731868555,0.021179787236843835,9000
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,2,ok,5038.638279881672,68.93669608209858,9.99752643690138,33000.06779517857,30737.06779517857,9.125,5.549402033271884,444.87381673431173,0.08727423152199329,16800
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,2,ok,4684.723604656756,60.509117330139915,9.189132032182938,2304.162470277778,13.787470277777778,9.125,0.5081540204447982,0.7721422673784374,0.006979117500796533,7200
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,2,ok,4092.5312723108796,51.589844846305255,8.127407304822974,82988.0323672619,79975.30960869047,12.148075639400922,19.277922597376282,1549.214191319052,0.4947049143448242,16800
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,2,ok,3722.85792777915,45.58050997627692,7.424517183929284,7511.718105222222,4249.872284666667,13.205853524516419,1.017728919809544,92.23880506994281,0.7786817913360223,9000
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,2,ok,3669.7311178867753,45.68358012591489,7.19996093137098,2671.9739230555556,37.76226861111111,10.494867149181053,0.27188836532682564,0.17339515626776064,0.4576283467669696,7200
