experiment,model,norm_model,workload,e2e_error,itl_error,gt_e2e_ms,blis_e2e_ms
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,llama-2-7b,roleplay,0.1438047329124762,0.7093949939304456,2071.1203091347243,1773.28340625
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,llama-2-70b,general,0.3269182702967035,0.33598220151987634,5320.605252511034,3581.2021864285716
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,llama-2-70b,codegen,0.261762826360653,0.4526678550774747,4605.497935959306,3399.9497794444446
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,llama-2-70b,roleplay,0.24946957820028517,0.47713980665076233,4561.57099792086,3423.597805138889
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,mixtral-8x7b-v0-1,codegen,0.2752413434889114,0.4415427853621632,4675.230160187726,3388.413529777778
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,mixtral-8x7b-v0-1,general,0.3169510050999495,0.36014755813634,5038.638279881672,3441.6368127380956
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,mixtral-8x7b-v0-1,roleplay,0.26656913285577066,0.45970560809116945,4684.723604656756,3435.9208956944444
20260218-150304-codellama-34b-tp2-general,codellama-34b,codellama-34b,general,0.3360949881749124,0.31532186758694186,4092.5312723108796,2717.0520227380953
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codellama-34b,codegen,0.296229187795376,0.3930373417275643,3722.85792777915,2620.038747555556
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,codellama-34b,roleplay,0.2794432885391619,0.42705369539422355,3669.7311178867753,2644.24938625
