experiment,model,workload,label,status,gt_e2e_ms,blis_e2e_ms,e2e_error,ttft_error,itl_error,alpha0,beta0,beta1,beta2,holdout_model
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,h1-full,blis_failed,,,,,,,,,,
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,h1-full,ok,5320.605252511034,258077.28420654763,47.50524930124242,2449.095140662586,1.1764346734189322,76660.22983468827,18878.175756061413,0.0,31.14380854279622,
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,h1-full,ok,4605.497935959306,90413.913191,18.631734602475106,1524.074319238717,1.4849157159663091,76660.22983468827,18878.175756061413,0.0,31.14380854279622,
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,h1-full,ok,4561.57099792086,47526.36094680556,9.41885810140143,762.3644980736335,1.5486489426851962,76660.22983468827,18878.175756061413,0.0,31.14380854279622,
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,h1-full,ok,4675.230160187726,49211.89145911111,9.526089576974984,758.9465699477846,0.9478712195281025,62309.412039282426,16822.50011896777,0.0,10.531807161629535,
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,h1-full,ok,5038.638279881672,181289.25838666665,34.97981206758189,2563.4549678073663,0.816661320181712,62309.412039282426,16822.50011896777,0.0,10.531807161629535,
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,h1-full,ok,4684.723604656756,14121.860405972222,2.01444900440544,157.0740093891253,0.9757193446290913,62309.412039282426,16822.50011896777,0.0,10.531807161629535,
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,h1-full,ok,4092.5312723108796,198455.23176886904,47.49205016747734,3753.452679607579,1.363369521642066,52962.40152900681,15368.404776373394,0.0,30.178433642120694,
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,h1-full,ok,3722.85792777915,58370.53775944444,14.67895925436646,1175.5650156520496,1.5858655132387973,52962.40152900681,15368.404776373394,0.0,30.178433642120694,
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,h1-full,ok,3669.7311178867753,21496.883912083333,4.8578907340934485,364.13466606714906,1.665035011061787,52962.40152900681,15368.404776373394,0.0,30.178433642120694,
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,control-r4,blis_failed,,,,,,,,,,
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,control-r4,ok,5320.605252511034,258157.71875357142,47.5203668570855,2449.8700800767247,1.1766648354602876,78888.0,17992.0,1.22,35.2,
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,control-r4,ok,4605.497935959306,90697.23551577778,18.69325288534429,1529.0532621440173,1.4878050562807112,78888.0,17992.0,1.22,35.2,
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,control-r4,ok,4561.57099792086,48347.147861666665,9.598793241123078,776.8660048255052,1.5605585072890011,78888.0,17992.0,1.22,35.2,
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,control-r4,ok,4675.230160187726,67773.24528444445,13.496237182411384,1065.4905501435592,1.173574966930298,62767.0,18921.0,0.69,8.8,
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,control-r4,ok,5038.638279881672,215571.95591011905,41.78377290365475,3053.247811478176,1.0255828031202954,62767.0,18921.0,0.69,8.8,
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,control-r4,ok,4684.723604656756,29463.331019027777,5.289235717074182,401.6898371451732,1.2098356737070195,62767.0,18921.0,0.69,8.8,
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,control-r4,ok,4092.5312723108796,170068.24296642857,40.5557589301934,3211.524474607136,1.150530950160339,47618.0,14196.0,0.0,25.8,
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,control-r4,ok,3722.85792777915,43129.45069722222,10.585038036342915,850.5562166710039,1.3530117246102422,47618.0,14196.0,0.0,25.8,
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,control-r4,ok,3669.7311178867753,9554.89995888889,1.6037057353649127,112.26292138018034,1.4240084025543172,47618.0,14196.0,0.0,25.8,
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-holdout-llama-2-7b,ok,2071.1203091347243,3627.9077385620917,0.7516644120387986,37.779331891280734,1.6358487359873293,17018.979593989436,10068.868425550665,0.0,9.309464948287621,llama-2-7b
