experiment,model,workload,label,status,gt_e2e_ms,blis_e2e_ms,e2e_error,ttft_error,itl_error,alpha0,beta0,beta1,beta2,holdout_model
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,h1-unified,blis_failed,,,,,,,,,,
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,h1-unified,ok,5320.605252511034,565962.0695649209,105.37174582681506,5376.666825589773,7.822701020462832,71120.90917816013,-5354.488015565203,17.93675661879776,753.2263273894094,
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,h1-unified,ok,4605.497935959306,171574.96112844444,36.25437803126625,2892.616191500804,3.7267442265463746,71120.90917816013,-5354.488015565203,17.93675661879776,753.2263273894094,
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,h1-unified,ok,4561.57099792086,376378.56019,81.51073157943861,6520.326441842679,7.590194509939727,71120.90917816013,-5354.488015565203,17.93675661879776,753.2263273894094,
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,h1-unified,ok,4675.230160187726,146630.75974955555,30.363324312501405,2330.3241348686984,3.0912679773849194,62766.929511172326,-4742.24080393525,15.885817445225841,667.1003117311678,
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,h1-unified,ok,5038.638279881672,529009.4771499819,103.99056446703398,7531.825506403266,6.722332051117468,62766.929511172326,-4742.24080393525,15.885817445225841,667.1003117311678,
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,h1-unified,ok,4684.723604656756,324750.09350944444,68.32107866227862,5083.444252967877,6.4116913666592374,62766.929511172326,-4742.24080393525,15.885817445225841,667.1003117311678,
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,h1-unified,ok,4092.5312723108796,431840.09075100406,104.51906925494602,8246.174170809136,6.245754290543518,47617.97831616568,-4311.537958688171,14.44302551296953,606.5124980357099,
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,h1-unified,ok,3722.85792777915,130972.97117011111,34.180759972820745,2684.5832145444833,3.6692433106855,47617.97831616568,-4311.537958688171,14.44302551296953,606.5124980357099,
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,h1-unified,ok,3669.7311178867753,288404.3403073611,77.59004680251329,5972.011592221075,7.59665280092426,47617.97831616568,-4311.537958688171,14.44302551296953,606.5124980357099,
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-llama-2-7b,ok,2071.1203091347243,-1734.4089122222222,1.8374254767202907,0.09324946283172643,2.7263809125817655,27129.0,-7458.623977221106,8.132566774504067,450.4266703036291,llama-2-7b
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-llama-2-7b,ok,5320.605252511034,-3404.168948154762,1.6398085906764426,0.3825077537835565,2.3324015773276936,71120.90917816013,-14881.911343272575,16.22660400913598,898.7193609137432,llama-2-7b
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-llama-2-7b,ok,4605.497935959306,-3389.9164725555556,1.7360586237782016,0.14926867127856594,2.5218554293349387,71120.90917816013,-14881.911343272575,16.22660400913598,898.7193609137432,llama-2-7b
