experiment,model,workload,label,status,gt_e2e_ms,blis_e2e_ms,e2e_error,ttft_error,itl_error,alpha0,beta0,beta1,beta2,holdout_model
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,h1-twostage,blis_failed,,,,,,,,,,
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,h1-twostage,ok,5320.605252511034,584569.458728214,108.8689774912975,5552.46938049556,7.774713804482942,71231.31280387272,-2307.718889032414,32.27134127907473,665.2138044101343,
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,h1-twostage,ok,4605.497935959306,543858.0026440775,117.08886035919896,9551.013021326888,9.045900910869827,71231.31280387272,-2307.718889032414,32.27134127907473,665.2138044101343,
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,h1-twostage,ok,4561.57099792086,522248.44314109057,113.48872403369994,9283.610775176476,9.545922094510493,71231.31280387272,-2307.718889032414,32.27134127907473,665.2138044101343,
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,h1-twostage,ok,4675.230160187726,542257.5921370437,114.98521860050421,8995.70915720575,8.65618646896131,59581.90387144798,-4609.665297621701,32.27134127907473,665.2138044101343,
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,h1-twostage,ok,5038.638279881672,586488.7820833449,115.3982706250384,8332.83650433834,7.973624374382319,59581.90387144798,-4609.665297621701,32.27134127907473,665.2138044101343,
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,h1-twostage,ok,4684.723604656756,504650.24956936494,106.72252370827756,8123.0132394473785,8.801108865828404,59581.90387144798,-4609.665297621701,32.27134127907473,665.2138044101343,
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,h1-twostage,ok,4092.5312723108796,585048.7519144224,141.95523063506613,11110.94424965441,9.840316038332366,51796.302419448024,-6227.291402426325,32.27134127907473,665.2138044101343,
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,h1-twostage,ok,3722.85792777915,507053.20729244046,135.19998859180754,10877.903755230862,10.213540868749119,51796.302419448024,-6227.291402426325,32.27134127907473,665.2138044101343,
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,h1-twostage,ok,3669.7311178867753,463099.85561194445,125.1944923852137,9675.119355538667,10.653494910403502,51796.302419448024,-6227.291402426325,32.27134127907473,665.2138044101343,
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-llama-2-7b,ok,2071.1203091347243,-5006.912382083333,3.4174898773384768,0.16183581238137995,5.936357959388734,22370.226991196938,-20860.23381947573,34.99808271467131,799.1697102636318,llama-2-7b
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-llama-2-7b,ok,5320.605252511034,586267.5847792842,109.18813780680271,5559.231109623342,8.59799134866574,72484.65989681894,-10986.911464653786,34.99808271467131,799.1697102636318,llama-2-7b
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-llama-2-7b,ok,4605.497935959306,516641.9684312593,111.17939419695882,9071.628226258152,9.266739353269566,72484.65989681894,-10986.911464653786,34.99808271467131,799.1697102636318,llama-2-7b
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-llama-2-7b,ok,4561.57099792086,448246.11101892835,97.26573152609848,7976.108903519591,8.893496481017776,72484.65989681894,-10986.911464653786,34.99808271467131,799.1697102636318,llama-2-7b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-llama-2-7b,ok,4675.230160187726,-2926.9432888888887,1.6260533040305682,0.0711392855080449,2.29850054473084,58951.72456600743,-13245.27689423049,34.99808271467131,799.1697102636318,llama-2-7b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-llama-2-7b,ok,5038.638279881672,477358.6967211882,93.73962412169793,6799.747387596846,6.882574187389955,58951.72456600743,-13245.27689423049,34.99808271467131,799.1697102636318,llama-2-7b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-llama-2-7b,ok,4684.723604656756,396642.8292243056,83.66728513717025,6226.749796490707,7.587654600946237,58951.72456600743,-13245.27689423049,34.99808271467131,799.1697102636318,llama-2-7b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-llama-2-7b,ok,4092.5312723108796,159917.75083559525,38.07551102115255,2990.0634693016996,1.782922626198593,50132.550237190975,-14835.507055164711,34.99808271467131,799.1697102636318,llama-2-7b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-llama-2-7b,ok,3722.85792777915,-3383.275003333333,1.9087843449754223,0.14105057974126584,2.8732578508967865,50132.550237190975,-14835.507055164711,34.99808271467131,799.1697102636318,llama-2-7b
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-llama-2-7b,ok,3669.7311178867753,388910.4171656944,104.97790537570762,8087.842088110212,9.725573641565267,50132.550237190975,-14835.507055164711,34.99808271467131,799.1697102636318,llama-2-7b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-codellama-34b,blis_failed,,,,,,,,,,codellama-34b
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-codellama-34b,ok,5320.605252511034,577498.15962447,107.53993713439323,5500.853659750326,6.426492692024673,72283.98172294589,3403.75147611339,34.571777519698756,502.3827031499305,codellama-34b
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-codellama-34b,ok,4605.497935959306,532556.4954334351,114.63494389505264,9375.517911883235,7.571552706951646,72283.98172294589,3403.75147611339,34.571777519698756,502.3827031499305,codellama-34b
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-codellama-34b,ok,4561.57099792086,466055.27416680555,101.16990470590748,8140.444187465696,8.02117314924986,72283.98172294589,3403.75147611339,34.571777519698756,502.3827031499305,codellama-34b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-codellama-34b,ok,4675.230160187726,529809.4741187885,112.32265064304661,8812.793442735247,7.203955820164685,61097.44086592119,1139.4046287935525,34.571777519698756,502.3827031499305,codellama-34b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-codellama-34b,ok,5038.638279881672,574772.0695334354,113.07289779629376,8185.986393113253,6.567807578933396,61097.44086592119,1139.4046287935525,34.571777519698756,502.3827031499305,codellama-34b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-codellama-34b,ok,4684.723604656756,449487.2538055556,94.94744359277712,7101.74693679108,7.54391678899989,61097.44086592119,1139.4046287935525,34.571777519698756,502.3827031499305,codellama-34b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-codellama-34b,ok,4092.5312723108796,574837.9021317028,139.460234481511,10946.535116538305,8.10981262292998,53550.7403409949,-457.5031796702424,34.571777519698756,502.3827031499305,codellama-34b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-codellama-34b,ok,3722.85792777915,525178.0528433651,140.06851860357108,11280.133655277106,9.080054614909763,53550.7403409949,-457.5031796702424,34.571777519698756,502.3827031499305,codellama-34b
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-codellama-34b,ok,3669.7311178867753,437034.92626625,118.09181142348046,9143.297597292243,9.674401815368673,53550.7403409949,-457.5031796702424,34.571777519698756,502.3827031499305,codellama-34b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-llama-2-70b,blis_failed,,,,,,,,,,llama-2-70b
20260217-202857-llama-2-70b-tp4-general,llama-2-70b,general,lomo-llama-2-70b,ok,5320.605252511034,586184.6332799944,109.17254719345085,5572.406476904166,7.543197791745922,71461.372647632,3133.379925926707,40.351433964322474,582.7318253800896,llama-2-70b
20260217-203421-llama-2-70b-hf-tp4-codegen,llama-2-70b-hf,codegen,lomo-llama-2-70b,ok,4605.497935959306,548888.131175795,118.18106115956036,9639.72532824672,8.860666202920148,71461.372647632,3133.379925926707,40.351433964322474,582.7318253800896,llama-2-70b
20260218-084319-llama-2-70b-tp4-roleplay,llama-2-70b,roleplay,lomo-llama-2-70b,ok,4561.57099792086,523584.52149661165,113.78162276445083,9308.74318044613,9.422729861615423,71461.372647632,3133.379925926707,40.351433964322474,582.7318253800896,llama-2-70b
20260218-120914-mixtral-8x7b-v0-1-tp2-codegen,mixtral-8x7b-v0-1,codegen,lomo-llama-2-70b,ok,4675.230160187726,542004.5994608969,114.93110518416353,8997.204037639025,8.422820316560914,59703.40277973351,398.16567833327645,40.351433964322474,582.7318253800896,llama-2-70b
20260218-130541-mixtral-8x7b-v0-1-tp2-general,mixtral-8x7b-v0-1,general,lomo-llama-2-70b,ok,5038.638279881672,586460.1867978723,115.39259542394554,8336.974092118422,7.693477076308948,59703.40277973351,398.16567833327645,40.351433964322474,582.7318253800896,llama-2-70b
20260218-141024-mixtral-8x7b-v0-1-tp2-roleplay,mixtral-8x7b-v0-1,roleplay,lomo-llama-2-70b,ok,4684.723604656756,523031.8656911827,110.64625916698124,8417.709333802484,8.857012933665906,59703.40277973351,398.16567833327645,40.351433964322474,582.7318253800896,llama-2-70b
20260218-150304-codellama-34b-tp2-general,codellama-34b,general,lomo-llama-2-70b,ok,4092.5312723108796,581890.1499174276,141.1834339677162,11056.732088766037,9.456429346820286,51853.62038235222,-1495.336119825697,40.351433964322474,582.7318253800896,llama-2-70b
20260218-150956-codellama-34b-tp2-codegen,codellama-34b,codegen,lomo-llama-2-70b,ok,3722.85792777915,542780.7247888165,144.79678712386675,11637.27683617074,10.56756848171362,51853.62038235222,-1495.336119825697,40.351433964322474,582.7318253800896,llama-2-70b
20260218-155500-codellama-34b-tp2-roleplay,codellama-34b,roleplay,lomo-llama-2-70b,ok,3669.7311178867753,519126.2768125,140.46166575589336,10877.510687765112,11.260448420809963,51853.62038235222,-1495.336119825697,40.351433964322474,582.7318253800896,llama-2-70b
20260217-162547-llama-2-7b-tp1-roleplay,llama-2-7b,roleplay,lomo-mixtral-8x7b-v0-1,ok,2071.1203091347243,-3573.175003472222,2.725237779627118,0.07469034229566494,4.531534666064711,25229.327046607446,-15149.115916054014,24.789607670536938,812.7413100457727,mixtral-8x7b-v0-1
