condition,rate,seed,ttft_mean_ms,ttft_p99_ms,e2e_mean_ms,e2e_p99_ms,scheduling_delay_p99_ms,responses_per_sec,completed_requests,timed_out_requests
bursty,5,42,88.485,307.178,1929.112,8388.594,211.209,5.0256,3000,0
bursty,5,123,89.628,288.788,1974.047,8489.783,181.123,5.2626,3000,0
bursty,5,456,90.412,292.921,1952.544,8752.062,191.449,5.0832,3000,0
smooth,5,42,27.981,58.885,1753.125,8265.605,25.607,4.8884,2933,0
smooth,5,123,27.957,59.1,1759.881,8114.522,22.971,5.0159,3000,0
smooth,5,456,27.906,59.139,1719.071,7899.946,23.603,5.0232,3000,0
bursty,12,42,124.334,400.827,2719.352,11730.191,287.99,11.8907,3000,0
bursty,12,123,129.522,433.893,2839.536,12296.162,309.447,12.4494,3000,0
bursty,12,456,129.147,570.677,2763.164,12156.978,471.445,11.8487,3000,0
smooth,12,42,34.329,87.825,2313.618,11057.301,37.421,11.4492,3000,0
smooth,12,123,34.308,83.628,2322.667,10508.006,33.942,11.8157,3000,0
smooth,12,456,34.543,91.869,2272.406,10408.67,42.266,11.906,3000,0
bursty,18,42,171.825,593.201,4129.431,18678.335,486.642,17.5328,3000,0
bursty,18,123,177.61,587.987,4453.771,19617.68,450.881,18.3209,3000,0
bursty,18,456,181.084,798.68,4174.019,18620.687,667.069,17.2178,3000,0
smooth,18,42,45.075,134.264,3258.196,15613.717,54.854,16.7347,3000,0
smooth,18,123,45.22,132.94,3302.723,14899.957,57.489,17.3187,3000,0
smooth,18,456,44.961,128.58,3211.605,14402.601,56.685,17.3575,3000,0
bursty,21,42,216.037,728.457,5442.762,24507.274,621.348,19.9843,3000,0
bursty,21,123,222.015,713.774,6397.027,28332.405,583.263,20.9074,3000,0
bursty,21,456,226.632,1019.468,5653.86,25623.189,890.144,19.7282,3000,0
smooth,21,42,54.452,172.881,4149.814,19860.758,78.118,19.1431,3000,0
smooth,21,123,55.901,178.936,4285.197,19571.372,72.786,19.9008,3000,0
smooth,21,456,54.724,164.036,4159.666,18552.899,71.625,19.9241,3000,0
