trial,lambda,loss,is_enqueued
0,0.000000,60.1909,True
1,0.032258,60.3569,True
2,0.064516,60.5111,True
3,0.096774,60.4888,True
4,0.129032,60.5840,True
5,0.161290,60.9507,True
6,0.193548,60.9143,True
7,0.225806,61.2506,True
8,0.258065,61.1964,True
9,0.290323,61.5605,True
10,0.322581,61.4644,True
11,0.354839,61.5717,True
12,0.387097,61.8178,True
13,0.419355,61.7989,True
14,0.451613,61.5220,True
15,0.483871,61.6783,True
16,0.516129,61.7705,True
17,0.548387,61.8201,True
18,0.580645,61.7980,True
19,0.612903,61.8256,True
20,0.645161,62.2668,True
21,0.677419,62.3413,True
22,0.709677,62.6603,True
23,0.741935,62.8726,True
24,0.774194,62.9980,True
25,0.806452,63.5077,True
26,0.838710,63.6240,True
27,0.870968,63.7824,True
28,0.903226,64.2005,True
29,0.935484,64.6372,True
30,0.967742,65.0445,True
31,1.000000,65.3723,True
32,,656.1023,False
33,,256.3731,False
34,,85.2151,False
35,,83.5670,False
36,,81.5380,False
37,,701.8387,False
38,,633.7535,False
39,,139.8153,False
40,,106.0817,False
41,,333.5427,False
42,,71.0157,False
43,,234.6106,False
44,,282.0356,False
45,,91.8035,False
46,,276.4185,False
47,,723.2727,False
48,,101.0517,False
49,,inf,False
50,,inf,False
51,,104.9955,False
52,,358.9675,False
53,,80.3410,False
54,,inf,False
55,,74.0704,False
56,,inf,False
57,,inf,False
58,,inf,False
59,,inf,False
60,,inf,False
61,,inf,False
62,,inf,False
63,,inf,False
64,,inf,False
65,,inf,False
66,,inf,False
67,,inf,False
