beta1a,beta1b,loss
0.02,0.02,40.2595
0.02,0.05,40.2919
0.02,0.1,40.3096
0.02,0.15,40.2468
0.02,0.2,40.2817
0.02,0.3,40.2239
0.02,0.5,40.1633
0.02,0.7,40.2131
0.02,1.0,40.2559
0.02,1.3,40.2463
0.02,1.6,40.2471
0.02,2.0,40.2408
0.05,0.02,40.0553
0.05,0.05,40.0774
0.05,0.1,40.0965
0.05,0.15,40.0502
0.05,0.2,40.0677
0.05,0.3,40.1082
0.05,0.5,40.1286
0.05,0.7,40.0880
0.05,1.0,40.0670
0.05,1.3,40.0815
0.05,1.6,40.0147
0.05,2.0,40.0588
0.08,0.02,40.0213
0.08,0.05,40.0472
0.08,0.1,40.1098
0.08,0.15,40.0417
0.08,0.2,40.0598
0.08,0.3,40.0430
0.08,0.5,40.0515
0.08,0.7,40.0469
0.08,1.0,40.0282
0.08,1.3,40.0506
0.08,1.6,40.0522
0.08,2.0,40.0057
0.1,0.02,39.9687
0.1,0.05,40.0029
0.1,0.1,39.9717
0.1,0.15,40.0138
0.1,0.2,39.9847
0.1,0.3,39.9715
0.1,0.5,40.0275
0.1,0.7,40.0082
0.1,1.0,40.0007
0.1,1.3,39.9794
0.1,1.6,39.9153
0.1,2.0,39.9461
0.12,0.02,39.9952
0.12,0.05,40.0053
0.12,0.1,39.9850
0.12,0.15,39.9495
0.12,0.2,39.9434
0.12,0.3,39.9523
0.12,0.5,39.9916
0.12,0.7,40.0443
0.12,1.0,39.9896
0.12,1.3,39.8908
0.12,1.6,39.9634
0.12,2.0,39.9001
0.15,0.02,39.9777
0.15,0.05,39.9564
0.15,0.1,39.9503
0.15,0.15,39.9567
0.15,0.2,39.8956
0.15,0.3,39.9038
0.15,0.5,39.8356
0.15,0.7,39.9225
0.15,1.0,39.9865
0.15,1.3,39.8422
0.15,1.6,39.9936
0.15,2.0,40.0113
0.2,0.02,40.6447
0.2,0.05,40.6745
0.2,0.1,40.5960
0.2,0.15,40.6380
0.2,0.2,40.5157
0.2,0.3,40.6375
0.2,0.5,40.6830
0.2,0.7,40.6799
0.2,1.0,40.7308
0.2,1.3,40.7124
0.2,1.6,40.8213
0.2,2.0,40.8385
0.3,0.02,52.8169
0.3,0.05,52.5469
0.3,0.1,52.3658
0.3,0.15,53.0786
0.3,0.2,53.0313
0.3,0.3,53.0193
0.3,0.5,53.7584
0.3,0.7,53.3245
0.3,1.0,53.6617
0.3,1.3,54.5235
0.3,1.6,54.6250
0.3,2.0,54.5074
0.4,0.02,82.1471
0.4,0.05,81.7516
0.4,0.1,82.1436
0.4,0.15,82.2335
0.4,0.2,82.4807
0.4,0.3,81.8682
0.4,0.5,82.5716
0.4,0.7,81.6432
0.4,1.0,82.0955
0.4,1.3,82.2853
0.4,1.6,80.8276
0.4,2.0,81.1554
0.5,0.02,113.9122
0.5,0.05,108.7577
0.5,0.1,108.7142
0.5,0.15,107.1201
0.5,0.2,109.3667
0.5,0.3,109.3697
0.5,0.5,107.5785
0.5,0.7,108.7375
0.5,1.0,107.6373
0.5,1.3,108.9406
0.5,1.6,107.1740
0.5,2.0,111.6053
0.7,0.02,184.6709
0.7,0.05,185.2008
0.7,0.1,186.8659
0.7,0.15,184.0930
0.7,0.2,188.5974
0.7,0.3,185.3202
0.7,0.5,187.7024
0.7,0.7,184.3091
0.7,1.0,190.5718
0.7,1.3,186.3975
0.7,1.6,194.1948
0.7,2.0,191.2842
1.0,0.02,339.6747
1.0,0.05,340.0973
1.0,0.1,349.4409
1.0,0.15,338.5449
1.0,0.2,338.6537
1.0,0.3,335.6083
1.0,0.5,336.1169
1.0,0.7,339.4518
1.0,1.0,342.9180
1.0,1.3,339.3440
1.0,1.6,343.5909
1.0,2.0,346.2979
