coeff,value,loss,elapsed_s
β₃ weight_loading,1.45491503,36.319461,24.1
β₃ weight_loading,2.04508497,64.906926,33.9
β₃ weight_loading,1.09016994,41.916257,19.1
β₃ weight_loading,1.68033989,45.073214,29.5
β₃ weight_loading,1.3155948,34.892026,23.9
β₃ weight_loading,1.22949017,36.360475,21.1
β₃ weight_loading,1.36881039,34.565559,22.9
β₃ weight_loading,1.40169944,35.346600,24.2
β₃ weight_loading,1.34848385,34.698868,23.5
β₃ weight_loading,1.38137289,34.845151,23.3
β₃ weight_loading,1.36104634,34.537728,23.3
β₃ weight_loading,1.3562479,34.682252,22.6
β₃ weight_loading,1.36252915,34.720803,22.5
β₆ per_request,3.36474508,34.616155,22.4
β₆ per_request,5.13525492,34.569492,22.5
β₆ per_request,6.22949017,34.633367,23.6
β₆ per_request,4.45898034,34.543696,22.5
β₆ per_request,4.04101966,34.615818,22.7
β₆ per_request,4.71729424,34.608030,23.4
β₆ per_request,4.29933357,34.604795,22.3
β₆ per_request,4.55764747,34.580757,21.9
β₆ per_request,4.3980007,34.503345,21.6
β₆ per_request,4.36031321,34.568484,22.1
β₆ per_request,4.42129285,34.432946,22.7
β₆ per_request,4.43568819,34.473586,22.4
β₆ per_request,4.41684444,34.545445,22.1
β₅ per_layer,33.64745084,34.681816,22.5
β₅ per_layer,51.35254916,38.013594,25.1
β₅ per_layer,22.70509831,35.086645,21.1
β₅ per_layer,40.41019662,35.868557,22.6
β₅ per_layer,29.46784409,34.837523,21.3
β₅ per_layer,36.23058987,35.326462,22.4
β₅ per_layer,32.05098312,34.565188,22.3
β₅ per_layer,31.06431181,34.739922,22.0
β₅ per_layer,32.66077953,34.582743,22.5
β₅ per_layer,31.67410822,34.607445,21.7
β₅ per_layer,32.28390463,34.657590,21.6
β₅ per_layer,31.90702972,34.632834,21.9
β₅ per_layer,32.09546717,34.655679,21.8
β₈ moe_overhead,467.37620788,34.669159,22.1
β₈ moe_overhead,632.62379212,37.270319,21.9
β₈ moe_overhead,365.24758425,36.735717,21.9
β₈ moe_overhead,530.4951685,34.947869,22.2
β₈ moe_overhead,428.36654487,35.052963,21.9
β₈ moe_overhead,491.4855055,34.658180,21.9
β₈ moe_overhead,506.38587088,34.674806,21.8
β₈ moe_overhead,482.27657325,34.592656,22.1
β₈ moe_overhead,476.58514012,34.625658,22.3
β₈ moe_overhead,485.79407237,34.670684,22.1
β₈ moe_overhead,480.10263924,34.628660,22.1
β₈ moe_overhead,483.62013836,34.608500,22.1
β₈ moe_overhead,481.8613888,34.588212,22.3
β₂ᵦ decode_memory,2.21884705,35.113400,25.3
β₂ᵦ decode_memory,3.28115295,46.725301,29.1
β₂ᵦ decode_memory,1.5623059,35.664723,19.0
β₂ᵦ decode_memory,2.6246118,38.110366,28.4
β₂ᵦ decode_memory,1.96807065,34.594067,22.1
β₂ᵦ decode_memory,1.8130823,34.638366,21.3
β₂ᵦ decode_memory,2.06385871,34.620383,22.8
β₂ᵦ decode_memory,1.90887037,34.650092,21.7
β₂ᵦ decode_memory,2.00465843,34.714952,22.7
β₂ᵦ decode_memory,1.94545815,34.510677,22.2
β₂ᵦ decode_memory,1.93148286,34.529158,22.1
β₂ᵦ decode_memory,1.95409536,34.538117,22.1
β₂ᵦ decode_memory,1.94012007,34.511171,22.0
β₂ᵦ decode_memory,1.94710771,34.567510,22.0
