gen,job,a0,g1,g2,g3,g7pf,g8,g9,g7dc,a2,loss,wall_s
1,1,26326.4,0.12820,0.63077,1.22054,67.928,212.396,141.301,392.950,4.4570,191.023128,153
1,2,20455.4,0.08905,0.50685,0.55990,111.803,158.138,202.755,426.332,4.7288,267.316155,153
1,3,20917.2,0.09088,0.26327,1.20951,64.062,34.380,197.779,298.998,2.5102,123.983277,153
1,4,5676.6,0.19224,0.31889,0.98058,42.430,64.373,21.876,527.052,8.8140,122.255348,153
1,5,18206.3,0.07784,0.60026,1.34628,41.759,237.805,154.956,472.865,3.4638,99.716519,153
1,6,27404.3,0.14121,0.52910,1.79334,8.754,65.561,354.495,551.092,3.4423,113.141280,153
1,7,26682.9,0.08544,0.61724,1.16683,66.641,39.268,22.714,504.373,0.5006,162.911221,153
1,8,5099.2,0.05801,0.46460,0.96374,16.712,84.971,659.774,187.961,2.2363,105.233633,153
1,9,29466.7,0.09570,0.68825,0.78168,70.172,136.780,131.241,690.139,1.5168,217.483791,153
1,10,7964.3,0.04182,0.28665,1.29935,63.490,21.536,183.065,172.812,4.2875,99.201447,153
2,11,22847.6,0.12391,0.32354,0.82609,33.156,0.646,180.851,370.497,0.4395,121.849845,286
2,12,5014.4,0.10044,0.13786,0.82623,1.179,167.374,388.164,270.221,0.4664,90.362709,286
2,13,30287.9,0.07055,0.52838,0.62824,78.172,38.650,194.384,520.578,10.5321,187.764949,286
2,14,11733.6,0.03019,0.46673,1.32712,9.629,154.410,514.807,229.867,3.0947,82.915722,286
2,15,12790.6,0.03621,0.89952,1.30624,74.136,71.432,255.182,99.055,7.3412,130.501779,286
2,16,21942.6,0.03731,0.56136,1.21967,19.867,46.813,193.813,217.214,10.5064,85.878342,286
2,17,18934.4,0.08729,0.15507,1.72028,51.245,46.667,236.917,356.860,2.9212,107.789032,286
2,18,19030.8,0.03468,0.64803,1.47736,62.453,209.127,392.993,248.639,0.6432,110.057525,286
2,19,9101.2,0.09356,0.49438,1.73479,42.017,158.963,84.421,547.843,3.5488,114.865052,286
2,20,15379.4,0.05519,0.51484,1.75521,45.627,31.376,83.462,454.064,6.0586,100.482229,286
3,21,27025.1,0.03424,0.47396,1.17916,79.533,153.724,474.305,174.321,1.6532,129.826926,411
3,22,12179.9,0.03526,0.73209,1.51165,16.416,72.767,437.753,271.775,7.6892,79.645439,411
3,23,7898.8,0.03014,0.89936,0.94018,15.518,106.110,410.357,186.781,1.6755,100.399269,411
3,24,11534.3,0.03861,0.98232,0.42477,46.119,8.639,359.772,426.665,4.1520,114.557515,411
3,25,24022.2,0.07439,0.05213,1.49631,30.678,283.989,393.493,280.491,7.8566,75.186838,411
3,26,31745.3,0.04768,0.31739,1.21579,12.873,141.109,666.016,508.910,2.9830,91.717143,411
3,27,22819.8,0.03915,0.20246,1.02533,3.419,49.341,531.794,337.753,8.7201,78.213922,411
3,28,13803.0,0.03333,0.21416,0.58116,38.572,222.542,429.185,317.132,2.9938,69.580647,411
3,29,5922.9,0.07361,0.39927,1.17745,16.420,86.877,396.670,380.167,0.8094,78.893193,411
3,30,19734.8,0.03289,0.41649,1.79851,71.446,78.486,552.500,374.271,0.1873,132.797547,411
4,31,16941.3,0.08944,0.16983,1.46278,67.199,202.343,704.420,316.612,6.1168,130.050453,542
4,32,17098.8,0.04721,0.12493,0.62387,76.819,172.531,355.894,262.725,9.4837,117.544473,542
4,33,10819.4,0.03618,0.24089,1.10502,37.581,129.423,452.593,270.170,2.1362,81.772053,542
4,34,15138.8,0.09980,0.08358,1.29303,66.531,186.376,371.171,185.243,6.5926,127.376514,542
4,35,17365.8,0.04900,0.08602,0.79420,0.525,203.381,258.705,542.892,5.9036,64.479763,542
4,36,18404.0,0.03130,0.25920,1.41423,22.870,230.870,710.710,54.693,2.9528,88.976855,542
4,37,19793.4,0.03854,0.40059,1.19014,56.520,221.809,372.257,641.382,7.6603,132.781111,542
4,38,28509.9,0.05140,0.05604,1.18696,10.111,370.538,277.022,361.436,5.6518,82.234615,542
4,39,5817.6,0.04257,0.14440,0.75421,88.023,253.346,478.890,75.416,5.6268,146.292723,542
4,40,10652.0,0.03365,0.17841,0.60954,41.293,387.262,662.939,276.317,6.8895,66.557403,542
5,41,17245.9,0.03343,0.18252,0.81949,12.847,334.579,563.108,433.654,8.2460,65.181113,674
5,42,12565.3,0.03713,0.50333,1.08394,50.736,382.489,505.673,347.448,2.8511,81.102846,674
5,43,23369.4,0.03077,0.30777,0.68853,36.936,235.765,601.821,390.780,1.4631,82.779338,674
