eval,gamma6_pf,gamma9_dc,loss,elapsed_s
1,0.0,187.15494451,90.763691,15.3
2,0.0,187.15494451,90.763691,14.2
3,30.0,187.15494451,95.645891,14.0
4,0.0,237.15494451,86.800476,13.4
5,0.0,237.15494451,86.800476,13.3
6,0.0,287.15494451,79.480202,13.2
7,0.0,337.15494451000006,73.186356,13.7
8,0.0,337.1549445100001,73.186356,13.5
9,0.0,437.1549445100001,69.010187,15.6
10,0.0,500.0,68.902061,18.4
11,0.0,500.0,68.902061,18.2
12,0.0,500.0,68.902061,18.0
13,0.0,500.0,68.902061,18.4
14,0.0,437.1549445100002,69.010187,15.5
15,0.0,500.0,68.902061,18.4
16,0.0,500.0,68.902061,18.2
17,0.0,500.0,68.902061,18.4
18,0.0,487.1549445100002,64.422928,17.8
19,0.0,437.1549445100002,69.010187,15.6
20,0.0,487.1549445100002,64.422928,17.6
21,0.0,437.1549445100002,69.010187,15.6
22,0.0,500.0,68.902061,18.8
23,0.0,487.1549445100002,64.422928,18.1
24,0.0,500.0,68.902061,17.9
25,0.0,462.1549445100002,68.004636,16.7
26,0.0,474.6549445100002,65.136404,17.6
27,0.0,499.6549445100002,70.676756,18.0
28,0.0,480.9049445100002,64.777185,17.4
29,0.0,493.4049445100002,68.190223,18.1
30,0.0,484.0299445100002,64.260769,17.9
31,0.0,484.0299445100002,64.260769,17.6
32,0.0,480.9049445100002,64.777185,17.5
33,0.0,485.5924445100002,67.521656,17.6
34,0.0,484.0299445100002,64.260769,18.0
35,0.0,485.5924445100002,67.521656,17.4
36,0.0,482.4674445100002,64.511453,17.4
37,0.0,483.2486945100002,64.806477,17.5
38,0.0,484.0299445100002,64.260769,17.5
39,0.0,484.8111945100002,66.303223,17.5
40,0.0,483.2486945100002,64.806477,17.4
41,0.0,483.6393195100002,64.296831,17.8
42,0.0,484.4205695100002,66.945704,17.7
43,0.0,483.8346320100002,66.679166,17.8
44,0.0,484.0299445100002,64.260769,17.3
45,0.0,483.8346320100002,66.679166,17.4
46,0.0,484.2252570100002,64.409840,17.7
47,0.0,484.1276007600002,64.263374,17.8
48,0.0,483.9322882600002,64.300102,17.8
49,0.0,484.0787726350002,66.764411,17.1
50,0.0,484.0299445100002,64.260769,17.7
51,0.0,484.0787726350002,66.764411,17.8
52,0.0,483.9811163850002,66.513653,18.1
53,0.0,484.0055304475002,67.618704,17.7
54,0.0,484.0299445100002,64.260769,17.8
55,0.0,484.0543585725002,67.429577,17.6
56,0.0,484.0055304475002,67.618704,17.7
57,0.0,484.0421515412502,67.597948,20.0
58,0.0,484.0299445100002,64.260769,18.3
59,0.0,484.0421515412502,67.597948,18.5
60,0.0,484.0177374787502,65.781677,19.0
61,0.0,484.0238409943752,67.892135,18.1
62,0.0,484.0299445100002,64.260769,18.6
63,0.0,484.0360480256252,64.558372,17.9
64,0.0,484.0238409943752,67.892135,18.0
65,0.0,484.0329962678127,67.752377,17.5
66,0.0,484.0299445100002,64.260769,17.8
67,0.0,484.0329962678127,67.752377,17.6
68,0.0,484.0268927521877,64.446680,17.7
69,0.0,484.0284186310939,64.305939,17.8
