gen,eval,γ₂,γ₃,γ₈,γ₉,loss,wall_s
1,1,0.46642,1.72966,244.13019,283.73675,75.430390,112
1,2,0.56150,1.22050,245.06718,181.30243,83.241200,112
1,3,0.53474,1.25394,271.52333,312.28306,76.308013,112
1,4,0.18469,0.91097,258.14841,246.22888,83.681189,112
1,5,0.24060,1.43723,401.74436,238.64963,66.072701,112
1,6,0.57288,1.45784,359.18554,272.18682,67.079358,112
1,7,0.79929,1.45426,464.13449,244.26287,72.080781,112
1,8,0.66468,1.60320,421.65160,162.99917,71.853141,112
2,9,0.48161,1.48002,377.16556,136.69462,67.419481,235
2,10,0.14975,0.90702,372.49246,184.90038,68.078717,235
2,11,0.28515,1.74122,495.96912,233.42067,87.144761,235
2,12,0.29368,1.47033,356.54069,303.63431,67.966687,235
2,13,0.27728,1.31063,394.08026,194.93990,67.116794,235
2,14,0.27524,1.73393,388.40475,171.08479,68.034494,235
2,15,0.47470,1.57309,327.26248,294.92939,66.295642,235
2,16,0.66695,1.65830,425.74838,111.79817,71.270872,235
3,17,0.11209,1.51887,370.76794,108.04963,71.780651,349
3,18,0.58422,1.68397,401.67001,274.99110,69.109313,349
3,19,0.44511,1.71938,298.88696,295.54419,65.659799,349
3,20,0.46052,1.61992,306.99330,259.12798,65.643963,349
3,21,0.10102,1.75391,492.87456,116.17236,82.534412,349
3,22,0.10320,1.56561,359.50054,224.60511,68.862507,349
3,23,0.42389,1.55022,406.83167,237.83656,68.260335,349
3,24,0.61109,1.63195,341.14547,191.76208,66.972775,349
4,25,0.35403,1.78867,276.19524,358.17131,67.210956,462
4,26,0.20103,1.68564,325.79232,187.70501,67.671075,462
4,27,0.34668,1.48528,409.24093,287.31824,68.399276,462
4,28,0.28967,1.67896,309.00274,294.42595,66.935990,462
4,29,0.25483,1.72154,370.01279,277.87125,65.690408,462
4,30,0.65402,1.58326,264.67499,288.54571,73.166895,462
4,31,0.48429,1.78574,343.06278,192.33073,67.493084,462
4,32,0.64705,1.77454,140.92029,202.66221,87.318256,462
5,33,0.10076,1.77672,273.06030,253.06347,71.903684,579
5,34,0.35604,1.77900,419.44108,269.32506,72.116433,579
5,35,0.71077,1.75979,410.67172,333.47320,71.114828,579
5,36,0.10893,1.50512,366.55934,303.78256,69.423999,579
5,37,0.39743,1.79415,396.17415,360.47520,69.952369,579
5,38,0.19451,1.57259,283.23213,298.21097,71.120894,579
5,39,0.19179,1.78275,264.03438,358.18596,70.768197,579
5,40,0.33865,1.79100,261.83882,280.62761,71.364531,579
6,41,0.10051,1.79707,347.82621,268.76591,69.091544,701
6,42,0.27061,1.43578,336.43754,364.02517,68.022987,701
6,43,0.10505,1.76164,364.84515,290.17759,70.150042,701
6,44,0.42869,1.53331,491.82083,127.34268,75.593689,701
6,45,0.67254,1.32977,308.77233,380.09100,66.180846,701
6,46,0.35067,1.68985,366.30229,355.61811,66.409622,701
6,47,0.12757,1.65013,270.24707,289.05267,72.138151,701
6,48,0.16759,1.65118,382.15598,207.38557,68.591700,701
7,49,0.57701,1.55490,296.52942,378.34142,67.679489,806
7,50,0.23037,1.76865,323.51926,401.65307,67.392836,806
7,51,0.16715,1.57855,341.74896,314.70113,68.516636,806
7,52,0.56110,1.62743,326.56761,235.73750,65.716748,806
7,53,0.24995,1.70494,287.88279,496.05224,65.691253,806
7,54,0.16310,1.56782,337.37919,449.27262,67.080470,806
7,55,0.13229,1.62253,332.59728,346.67723,67.325573,806
7,56,0.10263,1.31536,337.88223,356.90158,66.696144,806
8,57,0.10048,1.53732,316.45932,448.44245,66.547177,908
8,58,0.35113,1.46271,309.86186,438.79602,66.456499,908
8,59,0.32047,1.75092,295.09907,389.43548,67.269309,908
8,60,0.43988,1.18491,226.25595,402.53388,85.084706,908
8,61,0.24601,1.34424,314.23998,425.85334,65.936703,908
8,62,0.45718,1.38603,314.70519,279.01322,64.780058,908
8,63,0.56698,1.29591,352.54884,270.29109,68.950282,908
8,64,0.25420,1.43188,232.51176,499.28241,78.281769,908
9,65,0.18407,1.67488,289.23181,328.35142,68.542066,1016
9,66,0.20296,1.28614,409.85735,460.74436,67.323229,1016
9,67,0.52527,1.11710,302.06461,256.53903,72.089702,1016
9,68,0.10004,1.52892,260.16917,454.23496,74.020648,1016
9,69,0.35341,1.39965,324.23673,353.35978,65.433031,1016
9,70,0.26966,1.34373,231.24743,317.82953,83.059421,1016
9,71,0.41326,1.65505,306.59634,440.19765,65.569914,1016
9,72,0.24177,1.74284,313.31259,298.54971,66.462940,1016
10,73,0.53203,1.41758,264.90552,399.42327,72.936203,1122
10,74,0.24737,1.48628,292.16385,432.67329,66.916727,1122
10,75,0.39362,1.56523,282.82607,360.01159,66.153259,1122
10,76,0.19766,1.33715,300.06171,423.64462,68.769366,1122
10,77,0.47766,1.35499,348.09408,350.79909,68.747907,1122
10,78,0.29961,1.74616,267.25013,440.70187,68.634719,1122
10,79,0.49109,1.39440,293.86786,338.48851,69.126803,1122
10,80,0.13694,1.53355,348.07961,429.54997,67.334855,1122
