gen,eval,α₀,γ₁,γ₂,γ₃,γ_wt,γ₇pf,γ₈,γ₉,α₂,loss,wall_s
1,1,9021.76147,0.02309,0.18459,0.44910,0.05298,3.50051,110.13427,15.47028,13.07498,153.815616,118
1,2,13453.16376,0.09536,0.08544,0.76476,0.05879,11.77877,74.84384,85.32698,8.38448,128.722649,118
1,3,17348.19418,0.01002,0.24624,0.20719,0.07038,4.47623,285.64551,8.72460,15.81939,123.459361,118
1,4,10209.27902,0.03132,0.53780,0.14598,0.06989,1.06630,127.55251,166.20533,13.43847,140.942426,118
1,5,17646.99552,0.03568,0.06272,0.99581,0.10521,2.17844,74.52493,171.80732,14.24904,125.925797,118
1,6,14985.79950,0.11859,0.37199,0.68701,0.01770,8.41506,200.30774,64.31901,14.14489,110.892982,118
1,7,13570.83678,0.05953,0.20065,0.95207,0.06137,11.65300,168.40604,60.36796,16.56632,121.282995,118
1,8,10512.00856,0.08634,0.12291,0.91700,0.10794,4.00733,134.56559,205.47876,9.93501,128.118987,118
1,9,14171.57870,0.05249,0.26157,0.27455,0.06357,15.97024,89.86230,179.52545,17.91418,121.114543,118
1,10,23380.82910,0.02044,0.26593,0.61189,0.06760,10.03379,66.92360,55.60581,10.42938,121.720101,118
2,11,7530.35993,0.05077,0.37946,0.38101,0.06106,31.66207,207.03673,64.82054,15.72529,110.082682,234
2,12,20313.53745,0.03550,0.05064,0.21228,0.03625,4.94363,164.73209,174.13825,15.22596,127.689471,234
2,13,8419.70878,0.11315,0.26924,0.19469,0.10418,16.75900,73.01563,33.49325,10.79025,124.216329,234
2,14,10892.18688,0.01921,0.07510,0.46251,0.05276,6.37997,332.33076,105.52678,14.80734,130.382590,234
2,15,14563.71122,0.02428,0.48008,0.69147,0.03280,0.80730,223.97788,135.76901,16.77871,128.991582,234
2,16,10205.19897,0.05141,0.40452,0.88590,0.00390,1.11306,173.60018,49.21997,11.75251,141.176489,234
2,17,11782.13199,0.05146,0.40099,0.53745,0.07846,3.89617,145.39434,147.93442,13.12827,132.878117,234
2,18,21329.50396,0.05120,0.26024,0.11764,0.17857,13.86285,106.18576,36.43392,14.92679,107.979496,234
2,19,8061.20014,0.17097,0.31147,0.51706,0.04213,2.66244,36.46921,10.02800,19.94345,131.151057,234
2,20,7051.37874,0.05345,0.24450,0.60435,0.00738,0.38340,167.76249,43.13476,16.63981,155.183536,234
3,21,24013.92365,0.01008,0.10138,0.27790,0.09802,20.80065,243.65179,23.78368,16.57625,102.608990,354
3,22,20082.16796,0.03542,0.25666,0.47228,0.05794,7.70652,269.10535,23.86481,1.11814,111.731786,354
3,23,20431.86766,0.07434,0.55197,0.40848,0.18691,7.30034,122.20086,182.26844,7.77380,107.609310,354
3,24,11969.40880,0.03855,0.15258,0.43487,0.06920,12.52904,25.79580,75.65017,18.94205,140.130738,354
3,25,6067.84356,0.05576,0.54775,0.22245,0.12521,17.27518,63.64792,20.78553,13.95702,127.386064,354
3,26,14103.37864,0.02105,0.32100,0.73663,0.07230,1.70741,12.51778,182.01313,9.39721,142.330229,354
3,27,22356.06190,0.06032,0.10528,0.26587,0.08505,4.95919,275.36448,117.62922,14.70417,107.261605,354
3,28,14008.34471,0.09295,0.31407,0.32408,0.09645,14.91784,60.13750,162.78046,10.27589,123.208527,354
3,29,13832.97710,0.03414,0.05004,0.79131,0.11088,4.79959,83.64913,138.76933,14.73317,133.774198,354
3,30,16042.44116,0.01455,0.41702,0.26263,0.15601,6.24092,175.56013,16.58423,11.51819,122.292992,354
4,31,28133.44909,0.01079,0.60801,0.20823,0.14980,19.59777,228.09629,23.04827,10.80729,98.044586,472
4,32,16148.10530,0.06388,0.37327,0.18506,0.10536,12.53375,233.05968,99.49818,19.54217,105.686644,472
4,33,25206.64131,0.06768,0.53540,0.10053,0.09492,19.81847,356.98642,67.56799,9.33710,88.804124,472
4,34,8853.84836,0.01029,0.16006,0.61230,0.15911,15.75303,369.97938,180.00627,18.45059,101.302608,472
4,35,33591.94102,0.01414,0.74540,0.96322,0.11688,16.45341,385.03827,85.89237,17.51306,91.415008,472
4,36,34114.62397,0.08071,0.07667,0.42077,0.08533,3.35271,292.03653,148.45895,19.49705,104.754477,472
4,37,30080.01235,0.06383,0.50197,0.89618,0.06533,4.22767,420.38962,112.05502,18.38849,88.025776,472
4,38,16627.71790,0.02890,0.44044,0.34018,0.10090,20.24521,337.03452,112.11413,13.43514,86.243554,472
4,39,36539.92238,0.04544,0.18057,0.56242,0.08678,16.43444,302.19930,108.53291,19.73539,107.022850,472
4,40,13169.18387,0.01995,0.18912,0.39355,0.11806,14.50030,80.28150,113.87628,8.43940,133.271154,472
5,41,35285.73043,0.03625,1.08853,0.34446,0.10655,18.87305,231.15096,49.69960,6.79711,118.694858,589
5,42,16936.98240,0.01023,0.48509,0.28906,0.08699,24.86514,416.19091,52.14482,15.85657,79.197851,589
5,43,34458.13029,0.01443,0.36331,0.83950,0.04860,22.46511,336.17888,273.47974,10.59557,98.873149,589
5,44,18955.83855,0.06416,0.89931,0.10028,0.06816,31.46755,410.55666,61.18908,16.17585,97.433000,589
5,45,18267.73357,0.02507,0.40070,0.28396,0.02323,5.12468,322.08561,258.54886,18.82626,110.965393,589
5,46,24890.72612,0.01058,0.74002,0.32943,0.10610,10.72374,282.45269,13.84755,16.86504,97.131879,589
5,47,32816.29553,0.03904,0.30143,0.65588,0.13174,3.68485,226.81398,3.39939,8.38437,105.394422,589
5,48,16321.18877,0.13028,0.75814,0.77744,0.02329,19.64255,294.13090,99.69486,19.91659,106.786873,589
5,49,18307.89923,0.01918,0.35927,0.18630,0.04668,21.38459,169.46516,67.40177,17.80228,105.461769,589
5,50,24056.23542,0.04794,0.76229,0.44506,0.03135,1.96591,139.48487,315.43524,16.01461,113.092614,589
6,51,27681.35325,0.03506,0.17009,0.79387,0.02363,30.78492,423.56012,158.56480,16.29720,87.528501,705
6,52,10679.86581,0.03974,0.76425,0.70231,0.14151,12.20010,95.71102,20.43467,19.58871,122.469505,705
6,53,7222.81827,0.12108,0.34969,0.79358,0.14106,14.37804,356.29936,63.28935,19.47545,87.126618,705
6,54,17859.20045,0.03696,0.08268,0.37038,0.00975,4.47970,423.44373,345.28749,0.48291,103.971287,705
6,55,22335.86135,0.01261,0.53687,0.10300,0.11832,2.66565,267.20024,51.71112,14.31054,107.537708,705
6,56,23589.84107,0.01210,0.12978,0.94910,0.09811,23.35110,257.66231,72.55449,18.35072,93.192916,705
6,57,34957.86385,0.10152,0.07077,0.88651,0.02248,25.01650,270.33173,103.21920,17.66753,123.752369,705
6,58,23372.04814,0.01802,0.29592,0.91999,0.13130,35.01916,145.34088,71.36114,19.82626,104.379061,705
6,59,17384.59914,0.04305,0.53381,0.12767,0.00483,10.08567,268.76183,128.66662,16.99685,101.491616,705
6,60,15321.53905,0.02477,0.08872,0.47086,0.00511,37.08242,207.06113,113.26183,16.96354,103.972969,705
7,61,20910.64982,0.10159,0.06428,0.27988,0.00890,24.69725,453.45048,459.04994,12.38511,84.040682,825
7,62,19172.29743,0.01606,0.15032,0.22095,0.09407,7.23334,247.96427,23.81499,19.61246,120.742292,825
7,63,13665.70308,0.14229,0.34910,0.92639,0.04559,24.75280,288.00164,205.51137,19.99957,106.144377,825
7,64,16285.81672,0.06606,0.30842,0.98021,0.11390,33.62250,439.56679,190.94146,18.79678,72.757874,825
7,65,17056.00423,0.16447,0.41354,0.92206,0.02801,16.19543,289.84413,344.17100,18.93030,102.905677,825
7,66,18933.92392,0.03034,0.63323,0.44055,0.02140,12.33118,462.02458,123.55895,16.46768,83.327294,825
7,67,7718.41471,0.18439,0.63240,0.30243,0.08519,4.99769,412.33892,125.58722,16.84398,96.283743,825
7,68,12891.84029,0.03806,0.07935,1.06858,0.02607,29.47552,364.36704,9.91281,19.19946,88.986227,825
7,69,36321.32859,0.04870,0.83464,0.50915,0.19729,3.37226,327.37838,96.19348,13.92447,98.217255,825
7,70,19940.11644,0.01283,0.53107,0.54972,0.04905,41.46104,374.36904,31.35095,18.01631,87.228536,825
8,71,17931.03537,0.02717,0.62618,0.87313,0.03994,35.19233,480.59759,177.24939,19.14811,71.625657,948
8,72,21961.27759,0.01094,0.40831,0.56130,0.16388,25.58260,480.93030,63.52787,19.74870,72.211708,948
8,73,9978.53587,0.03167,0.42712,0.76470,0.10316,16.92219,471.53417,14.64123,18.68508,89.753081,948
8,74,24248.29297,0.05231,0.07024,1.19520,0.00796,5.85945,255.43285,133.35506,19.47809,105.391648,948
8,75,7970.06767,0.20291,0.22977,0.92510,0.07013,19.67238,357.65614,79.73705,19.98944,115.001548,948
8,76,26015.96397,0.11723,0.14874,0.88623,0.10263,32.40644,350.29120,118.42023,19.96153,104.149951,948
8,77,27073.87706,0.01987,0.75340,0.88117,0.02647,26.07597,496.93691,109.22472,14.36021,82.528721,948
8,78,8838.76382,0.03107,0.20229,0.84855,0.00112,21.25097,470.04316,98.78178,17.56039,100.209370,948
8,79,35304.98797,0.04969,0.39888,0.74411,0.00003,23.86376,491.15524,75.59304,16.93663,100.514885,948
8,80,38874.27653,0.01852,0.73298,0.94170,0.09107,27.89585,388.46878,68.29534,19.66045,108.030958,948
9,81,14690.16286,0.10427,0.54595,1.41697,0.12421,16.53825,499.68862,10.34768,13.06724,74.262026,1073
9,82,6740.92391,0.01173,0.57292,0.49339,0.07918,48.33418,431.02674,166.63416,19.69927,82.606090,1073
9,83,7225.41679,0.01260,0.29027,1.27015,0.08577,18.16049,352.17447,121.76579,12.53828,106.727030,1073
9,84,17340.15404,0.01375,0.17562,0.52182,0.07918,28.16652,434.81635,103.31180,11.80988,80.209980,1073
9,85,8489.82002,0.13463,0.65824,1.05093,0.13026,30.95275,451.35617,115.79488,19.79650,89.156258,1073
9,86,16809.52349,0.05797,0.65636,0.47998,0.14162,22.90411,499.89881,138.55542,14.67915,68.337032,1073
9,87,26073.68248,0.03443,0.97761,0.20077,0.01944,21.18794,421.28763,124.51933,15.16901,88.332355,1073
9,88,9103.85397,0.03083,0.06237,1.31221,0.06878,23.86999,488.29717,56.41100,14.73688,90.161081,1073
9,89,27061.40085,0.04069,0.87690,0.66800,0.12146,37.86411,277.53575,38.21142,18.37737,114.582479,1073
9,90,13468.70630,0.06635,0.75333,0.83153,0.10774,19.75120,499.66295,16.20176,11.68749,68.600822,1073
10,91,11180.63816,0.05600,0.71091,0.51503,0.19297,36.20781,480.49931,192.40387,19.66046,74.110475,1197
10,92,5916.99550,0.07088,0.44831,0.47952,0.15218,24.17185,345.58395,151.46231,6.81117,91.275769,1197
10,93,10728.66886,0.08597,0.25253,0.67066,0.16078,6.60548,491.79907,84.13100,9.50608,81.835027,1197
10,94,24606.59384,0.01400,0.45777,0.71432,0.18668,38.09803,496.24399,65.71961,14.08531,79.541588,1197
10,95,5427.23809,0.08758,0.66108,1.13077,0.08877,24.00021,448.73371,20.56819,9.27244,75.657061,1197
10,96,9799.45642,0.11672,0.63411,1.11057,0.11630,26.65529,468.00366,76.30082,12.05916,77.728272,1197
10,97,11792.14561,0.05444,0.56339,0.76812,0.05219,21.64598,485.46332,199.05152,13.38658,77.026426,1197
10,98,15408.88593,0.08384,0.62076,0.22939,0.13413,28.36688,369.92052,3.22369,11.14101,89.969844,1197
10,99,7683.37550,0.20429,0.25436,0.63008,0.10084,33.98875,381.43542,14.14527,12.61644,141.909686,1197
10,100,9482.61525,0.02918,0.92022,0.68818,0.13327,38.79320,498.26996,102.19439,13.38890,75.000811,1197
11,101,12226.55128,0.01672,0.54426,1.00815,0.12507,27.96139,378.72850,46.90977,11.86304,78.585183,1323
11,102,7279.55849,0.03495,0.82369,0.32726,0.16935,40.59610,411.31187,86.32282,19.96367,77.349959,1323
11,103,27303.93149,0.05181,1.12909,0.89132,0.18942,15.95746,442.17942,55.17506,11.02720,79.153798,1323
11,104,16939.23874,0.05266,0.46464,0.77914,0.12503,34.29990,464.57049,66.44262,11.62512,73.223129,1323
11,105,9632.51313,0.06986,0.98493,0.43768,0.17918,27.93036,499.63914,3.87917,12.44776,77.014559,1323
11,106,10327.83732,0.04644,0.28604,1.15606,0.08942,21.30148,427.41754,21.82939,13.19373,81.436151,1323
11,107,20308.36265,0.01073,1.26107,0.45350,0.19237,49.20900,437.96749,22.06465,14.24633,99.788285,1323
11,108,13479.20076,0.01001,1.01804,0.79487,0.11975,45.09949,491.52717,219.15067,19.53272,79.752658,1323
11,109,7377.63435,0.03347,0.62155,1.05894,0.19172,35.26193,464.86289,359.39015,18.35764,68.896082,1323
11,110,17483.03488,0.02673,1.03997,0.68233,0.17213,39.66403,416.18289,167.74455,9.16853,83.883484,1323
12,111,13235.88774,0.02045,0.81566,1.12533,0.19533,44.66503,475.34380,151.36857,8.29101,72.482539,1450
12,112,14411.30596,0.01626,0.92574,0.55241,0.16648,32.38269,481.22656,114.87725,9.81575,66.921910,1450
12,113,9880.97257,0.14497,0.71866,1.00768,0.16241,31.61004,439.20953,171.94499,15.47951,98.736545,1450
12,114,33517.10475,0.01001,0.15693,0.12787,0.12862,49.22400,470.55416,11.00202,14.27412,105.139916,1450
12,115,8329.78894,0.05051,0.49481,0.45898,0.19649,20.65145,382.55954,25.44105,7.42542,82.866096,1450
12,116,8200.20563,0.13959,0.75610,0.73959,0.10589,5.32760,338.94534,149.29898,15.72070,90.307435,1450
12,117,11129.95042,0.01023,0.42301,1.28604,0.17514,26.03746,477.00425,159.19791,13.32701,77.773234,1450
12,118,10465.59880,0.01145,0.91962,0.43550,0.18943,40.30484,440.64849,358.44001,18.60229,71.501667,1450
12,119,5358.24733,0.09777,0.80852,0.64578,0.11822,37.94398,482.67194,191.77859,13.67969,88.271657,1450
12,120,9874.07296,0.11554,0.84479,0.43328,0.12328,14.80857,485.32123,193.14873,19.68530,76.345884,1450
13,121,16038.49019,0.01821,0.70083,1.23248,0.14804,19.51973,422.21641,199.22616,4.87138,71.440884,1575
13,122,22134.71571,0.01649,1.42482,0.51439,0.19382,33.52791,484.48567,156.64631,11.84501,89.521019,1575
13,123,9526.72140,0.02697,1.05816,0.74686,0.17888,40.67050,471.88814,217.04899,14.92018,74.628857,1575
13,124,18236.53875,0.01359,0.86411,0.34915,0.18569,33.52615,451.52031,40.10523,15.49125,72.506423,1575
13,125,13159.06031,0.01302,1.03582,0.52287,0.15258,33.24913,495.03817,94.32365,9.00200,67.115887,1575
13,126,27506.06749,0.02654,1.49210,0.16003,0.20000,41.86635,360.78574,184.74804,15.35553,133.222275,1575
13,127,6171.44953,0.02665,0.62053,1.29472,0.18131,36.81201,330.68037,346.64717,18.99075,70.842151,1575
13,128,22999.85461,0.01059,1.10287,0.72956,0.19691,34.19353,472.89650,185.88250,19.82459,83.372999,1575
13,129,11180.58366,0.04846,0.44055,0.39302,0.14894,44.21070,473.46140,122.13348,7.25192,77.106640,1575
13,130,16671.16838,0.01047,0.32193,0.81749,0.18402,44.16834,388.03336,145.56407,9.65792,67.090438,1575
14,131,9983.99037,0.01234,0.78895,0.91598,0.11427,40.85019,417.89009,101.40551,9.51744,73.097051,1704
14,132,6071.75788,0.02685,0.30293,1.27179,0.15013,39.52467,385.20167,226.23469,14.90603,78.566620,1704
14,133,11474.66657,0.01575,0.57489,1.32467,0.19786,26.02254,462.44496,351.19440,12.42987,70.257459,1704
14,134,25928.07486,0.01067,0.77504,1.10267,0.19149,45.39291,476.39056,255.17158,10.86737,89.510525,1704
14,135,12429.06899,0.01493,0.57655,1.08451,0.19344,30.04492,359.11610,177.38215,5.32165,70.467975,1704
14,136,13461.89658,0.01357,0.53639,1.32305,0.18859,20.47710,484.21041,164.44781,8.46404,73.973928,1704
14,137,8812.42235,0.01050,0.53707,1.20340,0.12140,41.28943,498.58614,245.75334,19.44419,74.786047,1704
14,138,10285.16962,0.01523,0.52990,0.83553,0.19772,48.87163,475.15167,181.83250,4.69697,80.131719,1704
14,139,24929.37574,0.03864,0.41661,0.25062,0.16988,23.39697,251.85852,287.79314,10.01626,88.849445,1704
14,140,14689.09913,0.07150,0.32089,0.97566,0.09077,42.76644,416.78931,15.02708,12.09822,87.110459,1704
15,141,13733.37489,0.01093,0.80728,1.10662,0.17997,39.84504,448.52947,38.18813,16.39317,67.385222,1841
15,142,9143.81817,0.01415,0.34844,0.99441,0.19529,47.16965,474.37144,270.64776,15.34084,69.460799,1841
15,143,5254.28663,0.01428,0.93359,0.88716,0.19876,36.04860,496.11342,351.90028,19.99251,76.087227,1841
15,144,12804.29314,0.01011,0.10499,1.14108,0.15294,18.84749,439.38971,124.24130,1.47532,83.524743,1841
15,145,8338.86206,0.01087,0.71357,1.01298,0.13593,31.23777,374.40975,238.10248,4.40597,74.161742,1841
15,146,5124.06770,0.01332,0.11619,1.16477,0.19887,25.96719,499.43167,280.27727,6.60875,87.763899,1841
15,147,16548.54909,0.01125,0.38990,1.39125,0.19741,30.33787,433.48438,274.57671,11.22040,69.040825,1841
15,148,5595.95908,0.01046,0.38534,1.56557,0.19966,14.44468,496.57273,448.80384,10.55670,93.362862,1841
15,149,16612.43080,0.02847,0.66521,1.33765,0.19225,42.12088,402.08996,494.11446,17.45454,72.987036,1841
15,150,10344.39519,0.02599,0.73659,0.57302,0.15193,49.99606,430.54340,142.28766,12.00258,83.122675,1841
16,151,19385.70243,0.01019,0.42263,1.76977,0.14426,40.93198,471.27259,43.68229,15.94643,81.021812,1972
16,152,11430.12576,0.01069,0.47290,1.24829,0.17645,36.56540,333.47457,238.71690,13.95952,71.105540,1972
16,153,21581.05328,0.01842,0.93855,0.65977,0.17517,36.97599,462.09567,173.45006,10.68530,81.670511,1972
16,154,8658.65556,0.01012,0.43828,1.12220,0.19035,40.25529,416.27799,104.57315,19.07314,73.275437,1972
16,155,21967.34608,0.02298,0.11744,1.11522,0.19346,36.98372,325.73898,147.08168,12.19183,73.160688,1972
16,156,5971.93195,0.01168,0.78128,0.72901,0.18854,34.12681,422.11694,81.75809,18.10515,79.745249,1972
