trial,α₀,γ₁,γ₂,γ₃,γ₇pf,γ₈,γ₉,γ₇dc,α₂,loss,wall_s
1,8663.262892,0.075565,0.155672,0.768205,9.487529,3.015073,274.323825,231.134287,3.163765,60.623639,65
2,19569.539402,0.115787,0.534283,0.429916,65.035363,111.696807,147.554363,139.396211,7.401077,169.454563,65
3,38310.416764,0.083398,0.198012,1.463854,56.602473,172.219012,327.393328,121.710381,2.682675,151.636642,112
4,23624.310865,0.153919,0.599532,1.627001,5.731105,12.146542,296.819335,195.941904,10.820412,89.876792,112
5,25372.356403,0.064052,0.651147,1.319245,32.273074,217.222710,336.404252,297.992514,2.919646,190.130069,161
6,11323.174997,0.078552,0.814889,1.136637,21.897369,265.456402,231.694762,194.106759,5.271342,102.330750,161
7,27103.870991,0.156915,0.176348,0.870329,27.812444,47.267951,231.724802,221.123954,0.892886,129.916757,202
8,12791.147008,0.093132,0.622042,1.684737,49.647610,74.787956,387.807084,109.585834,0.137777,98.639849,202
9,29201.248368,0.036034,0.513695,1.137439,97.128848,50.170594,65.276166,166.926663,8.984988,201.724889,234
10,27310.362611,0.155484,0.657999,0.497305,56.366316,327.194900,357.327096,72.627299,0.224242,191.693231,234
11,14210.212039,0.046730,0.343338,0.524305,16.372279,46.235759,251.129102,188.963320,5.653964,59.965335,277
12,10625.696989,0.080651,0.217058,0.522620,6.932650,38.869983,263.910887,291.114431,2.648524,75.063459,277
13,22993.705050,0.056989,0.195103,0.270394,1.250261,92.970877,151.393451,97.233862,6.606505,79.628104,305
14,13137.121405,0.080466,0.113053,0.862509,4.175911,204.335842,105.193812,25.382929,1.880662,104.508288,305
15,38933.918732,0.056637,0.329754,0.320000,8.636720,94.010257,269.016448,228.666464,15.343986,106.842145,339
16,10819.660901,0.034872,0.538329,0.771875,73.854088,10.722668,360.134729,99.607256,7.023971,123.675604,339
17,14173.841613,0.131912,0.219880,0.230610,2.855018,32.530598,392.925804,90.251766,9.562525,90.257591,392
18,19378.172107,0.068310,0.287020,0.727027,105.397730,241.225994,57.533350,273.538421,9.981781,283.746240,392
19,19250.392421,0.065604,0.241850,0.870321,16.679860,259.146460,16.035872,211.329199,1.495277,96.931465,440
20,10115.895826,0.157327,0.518877,0.747420,4.241312,245.076815,135.542124,120.573973,0.668596,64.958217,440
21,23626.670246,0.076857,0.174118,0.913699,12.860224,190.254742,380.696437,169.272689,5.309031,74.176578,485
22,5846.823234,0.069834,0.175309,1.258480,25.466997,65.520635,233.324337,212.807943,8.156122,67.149791,485
23,10142.829382,0.070425,0.366320,0.776225,54.171938,20.152420,150.415203,159.737954,0.150641,96.540132,520
24,8216.572274,0.051802,0.405317,0.468979,15.829571,123.743747,81.098079,217.182354,13.662135,60.915288,520
25,8415.698665,0.087742,0.102546,0.834406,23.553900,121.568118,437.801339,208.880719,0.706800,70.455582,559
26,22629.644628,0.057706,0.707952,0.278132,14.325107,226.962229,223.563045,220.484056,4.492315,96.303593,559
27,21260.299228,0.058259,0.130649,0.773020,29.483176,11.733745,288.446075,214.120340,4.958055,73.121491,594
28,20562.026158,0.049643,0.337550,0.456289,21.637339,41.228775,340.333339,190.198546,10.710802,67.164864,594
29,8688.664209,0.044351,0.633959,0.718387,30.259236,88.270836,317.191015,222.068413,3.687850,70.296586,649
30,13072.215948,0.059328,0.449991,0.379557,43.125426,141.766952,322.615090,183.985543,2.551252,79.011723,649
31,16770.799462,0.138154,0.524150,0.769324,1.385441,68.129019,172.065699,233.940461,9.966055,78.257843,706
32,9234.995899,0.031668,0.573126,0.692805,20.832682,96.859368,147.027364,217.352219,14.350836,59.703392,706
33,11930.734918,0.039983,0.823728,1.332134,20.753377,119.824510,98.725244,282.060691,14.322399,101.254517,760
34,12578.700128,0.063877,0.431125,1.024760,6.085685,71.710557,297.922245,243.603857,18.370359,66.978898,760
35,12900.764312,0.100977,0.109636,0.947385,23.485147,33.432039,213.397918,199.864738,2.621976,69.004970,798
36,6642.081052,0.089336,0.194636,0.283759,14.749232,41.358551,191.993878,157.492585,3.591435,75.631278,798
37,11214.356262,0.042760,0.583141,0.638111,39.948858,127.514659,9.536670,157.076078,19.104948,69.657907,842
38,7205.441852,0.053993,0.867642,0.570741,53.949141,207.147002,247.908125,222.158783,17.081848,129.722975,842
39,9497.471788,0.073617,0.775711,0.853366,34.610670,123.797439,111.349740,185.577488,11.984316,80.498311,885
40,11693.170308,0.048084,0.235991,0.525715,6.979614,150.919638,227.737982,202.406948,8.554169,58.727506,885
