round,param,value,loss,wall_s
1,β₆ per_req,4.12867711,35.439766,24
1,β₆ per_req,6.37132289,35.653142,48
1,β₆ per_req,2.74264579,35.363895,72
1,β₆ per_req,1.88603132,35.324063,95
1,β₆ per_req,1.35661447,35.180501,119
1,β₆ per_req,1.02941686,35.177469,142
1,β₆ per_req,0.82719761,35.133681,165
1,β₆ per_req,0.70221924,35.207777,189
1,β₆ per_req,0.90443849,34.934470,213
1,β₆ per_req,0.95217598,35.256414,236
1,β₆ per_req,0.87493510,35.271107,260
1,β₆ per_req,0.92267259,35.184818,283
1,β₆ per_req,0.89880384,35.019658,307
1,β₃ wt_load,1.71327424,50.794248,336
1,β₃ wt_load,2.58672576,106.334958,367
1,β₃ wt_load,1.17345152,35.789136,388
1,β₃ wt_load,0.83982272,52.032084,404
1,β₃ wt_load,1.37964545,35.590547,428
1,β₃ wt_load,1.50708031,39.997609,454
1,β₃ wt_load,1.30088638,34.316929,477
1,β₃ wt_load,1.25221059,34.542882,499
1,β₃ wt_load,1.33096967,34.914670,522
1,β₃ wt_load,1.28229388,34.207259,545
1,β₃ wt_load,1.27080309,34.105523,567
1,β₃ wt_load,1.26370138,34.071499,589
1,β₃ wt_load,1.25931229,34.420498,611
1,β₃ wt_load,1.26505769,34.071857,634
1,β₅ per_layer,33.64745084,34.766601,656
1,β₅ per_layer,51.35254916,36.430183,681
1,β₅ per_layer,22.70509831,35.315127,701
1,β₅ per_layer,40.41019662,34.859621,724
1,β₅ per_layer,29.46784409,34.493755,746
1,β₅ per_layer,26.88470506,34.546945,768
1,β₅ per_layer,31.06431181,34.290473,790
1,β₅ per_layer,32.05098312,34.480413,812
1,β₅ per_layer,30.45451541,34.561662,834
1,β₅ per_layer,31.44118672,34.377470,856
1,β₅ per_layer,30.83139031,34.518688,878
1,β₅ per_layer,31.20826522,34.237791,901
1,β₅ per_layer,31.25274927,34.264626,924
1,β₈ moe,405.57280900,35.345594,945
1,β₈ moe,594.42719100,35.141712,970
1,β₈ moe,711.14561800,38.501863,996
1,β₈ moe,522.29123600,34.145951,1023
1,β₈ moe,477.70876400,34.075190,1046
1,β₈ moe,450.15528100,34.421494,1068
1,β₈ moe,494.73775300,34.076924,1091
1,β₈ moe,467.18427000,34.128206,1113
1,β₈ moe,484.21325900,34.003455,1135
1,β₈ moe,488.23325800,34.043005,1157
1,β₈ moe,481.72876299,34.062886,1179
1,β₈ moe,485.74876198,34.174963,1201
1,β₈ moe,483.73876249,34.084845,1223
